,동,기간,category,value
533,면목본동,2015,1인가구,5225.0
534,면목3.8동,2015,1인가구,3756.0
535,망우본동,2015,1인가구,3820.0
536,돈암1동,2015,1인가구,1273.0
537,돈암2동,2015,1인가구,965.0
538,안암동,2015,1인가구,5492.0
539,보문동,2015,1인가구,2403.0
540,정릉1동,2015,1인가구,1527.0
541,정릉2동,2015,1인가구,1948.0
542,정릉3동,2015,1인가구,2874.0
543,정릉4동,2015,1인가구,2195.0
544,길음1동,2015,1인가구,1636.0
545,길음2동,2015,1인가구,1666.0
546,월곡1동,2015,1인가구,1911.0
547,월곡2동,2015,1인가구,2736.0
548,장위1동,2015,1인가구,2012.0
549,장위2동,2015,1인가구,1989.0
550,장위3동,2015,1인가구,1338.0
551,성북동,2015,1인가구,2569.0
552,삼선동,2015,1인가구,4382.0
553,동선동,2015,1인가구,4376.0
554,종암동,2015,1인가구,4419.0
555,석관동,2015,1인가구,4294.0
556,번1동,2015,1인가구,3723.0
557,번2동,2015,1인가구,1635.0
558,번3동,2015,1인가구,1479.0
559,수유1동,2015,1인가구,2664.0
560,수유2동,2015,1인가구,1978.0
561,수유3동,2015,1인가구,3877.0
562,삼양동,2015,1인가구,2836.0
563,미아동,2015,1인가구,3486.0
564,송중동,2015,1인가구,3626.0
565,송천동,2015,1인가구,3866.0
566,삼각산동,2015,1인가구,1690.0
567,우이동,2015,1인가구,1844.0
568,인수동,2015,1인가구,3083.0
569,쌍문1동,2015,1인가구,1966.0
570,쌍문2동,2015,1인가구,1962.0
571,쌍문3동,2015,1인가구,2208.0
572,쌍문4동,2015,1인가구,970.0
573,방학1동,2015,1인가구,2977.0
574,방학2동,2015,1인가구,2172.0
575,방학3동,2015,1인가구,1049.0
576,창1동,2015,1인가구,2411.0
577,창2동,2015,1인가구,2219.0
578,창3동,2015,1인가구,1695.0
579,창4동,2015,1인가구,1656.0
580,창5동,2015,1인가구,1585.0
581,도봉1동,2015,1인가구,2424.0
582,도봉2동,2015,1인가구,2054.0
583,월계1동,2015,1인가구,3236.0
584,월계2동,2015,1인가구,2947.0
585,월계3동,2015,1인가구,2505.0
586,공릉2동,2015,1인가구,3903.0
587,하계1동,2015,1인가구,2420.0
588,하계2동,2015,1인가구,1119.0
589,중계본동,2015,1인가구,1026.0
590,중계1동,2015,1인가구,811.0
591,중계4동,2015,1인가구,1550.0
592,상계1동,2015,1인가구,2811.0
593,상계2동,2015,1인가구,2073.0
594,상계5동,2015,1인가구,2307.0
595,상계8동,2015,1인가구,1349.0
596,상계9동,2015,1인가구,1297.0
597,상계10동,2015,1인가구,1364.0
598,상계3.4동,2015,1인가구,3633.0
599,상계6.7동,2015,1인가구,2814.0
600,중계2.3동,2015,1인가구,3180.0
601,공릉1동,2015,1인가구,5784.0
602,녹번동,2015,1인가구,3580.0
603,불광1동,2015,1인가구,3669.0
604,갈현1동,2015,1인가구,2438.0
605,갈현2동,2015,1인가구,2322.0
606,구산동,2015,1인가구,1845.0
607,대조동,2015,1인가구,4677.0
608,응암1동,2015,1인가구,3527.0
609,응암2동,2015,1인가구,2038.0
610,신사1동,2015,1인가구,2089.0
611,신사2동,2015,1인가구,1689.0
612,증산동,2015,1인가구,1479.0
613,수색동,2015,1인가구,1600.0
614,진관동,2015,1인가구,2197.0
615,불광2동,2015,1인가구,3318.0
616,응암3동,2015,1인가구,3538.0
617,역촌동,2015,1인가구,3930.0
618,천연동,2015,1인가구,2195.0
619,홍제1동,2015,1인가구,2215.0
620,홍제3동,2015,1인가구,1977.0
621,홍제2동,2015,1인가구,1165.0
622,홍은1동,2015,1인가구,2163.0
623,홍은2동,2015,1인가구,3080.0
624,남가좌1동,2015,1인가구,340.0
625,남가좌2동,2015,1인가구,4073.0
626,북가좌1동,2015,1인가구,922.0
627,북가좌2동,2015,1인가구,2911.0
628,충현동,2015,1인가구,2766.0
629,북아현동,2015,1인가구,1485.0
630,신촌동,2015,1인가구,7649.0
631,연희동,2015,1인가구,7219.0
632,용강동,2015,1인가구,1893.0
633,대흥동,2015,1인가구,3990.0
634,염리동,2015,1인가구,2422.0
635,신수동,2015,1인가구,2922.0
636,서교동,2015,1인가구,7519.0
637,합정동,2015,1인가구,3113.0
638,망원1동,2015,1인가구,3108.0
639,망원2동,2015,1인가구,1866.0
640,연남동,2015,1인가구,3465.0
641,성산1동,2015,1인가구,2785.0
642,성산2동,2015,1인가구,3304.0
643,상암동,2015,1인가구,2733.0
644,도화동,2015,1인가구,2216.0
645,서강동,2015,1인가구,4341.0
646,공덕동,2015,1인가구,4435.0
647,아현동,2015,1인가구,2325.0
648,목1동,2015,1인가구,1121.0
649,목2동,2015,1인가구,2638.0
650,목3동,2015,1인가구,2095.0
651,목4동,2015,1인가구,1793.0
652,신월1동,2015,1인가구,2864.0
653,신월2동,2015,1인가구,1425.0
654,신월3동,2015,1인가구,2668.0
655,신월4동,2015,1인가구,918.0
656,신월5동,2015,1인가구,1137.0
657,신월6동,2015,1인가구,878.0
658,신월7동,2015,1인가구,1502.0
659,신정1동,2015,1인가구,744.0
660,신정2동,2015,1인가구,962.0
661,신정3동,2015,1인가구,3883.0
662,신정6동,2015,1인가구,628.0
663,신정7동,2015,1인가구,2009.0
664,목5동,2015,1인가구,1065.0
665,신정4동,2015,1인가구,4502.0
666,염창동,2015,1인가구,1767.0
667,등촌1동,2015,1인가구,3827.0
668,등촌2동,2015,1인가구,1496.0
669,등촌3동,2015,1인가구,3640.0
670,화곡본동,2015,1인가구,3871.0
671,화곡2동,2015,1인가구,1834.0
672,화곡3동,2015,1인가구,1822.0
673,화곡4동,2015,1인가구,2399.0
674,화곡6동,2015,1인가구,2624.0
675,화곡8동,2015,1인가구,2480.0
676,가양1동,2015,1인가구,2204.0
677,가양2동,2015,1인가구,2817.0
678,가양3동,2015,1인가구,2269.0
679,발산1동,2015,1인가구,1627.0
680,공항동,2015,1인가구,3432.0
681,방화1동,2015,1인가구,2875.0
682,방화2동,2015,1인가구,3295.0
683,방화3동,2015,1인가구,3053.0
684,화곡1동,2015,1인가구,7385.0
685,우장산동,2015,1인가구,2273.0
686,신도림동,2015,1인가구,1759.0
687,구로1동,2015,1인가구,1149.0
688,구로3동,2015,1인가구,6118.0
689,구로4동,2015,1인가구,3318.0
690,구로5동,2015,1인가구,4317.0
691,고척1동,2015,1인가구,1904.0
692,고척2동,2015,1인가구,2600.0
693,개봉2동,2015,1인가구,1961.0
694,개봉3동,2015,1인가구,1499.0
695,오류1동,2015,1인가구,2831.0
696,오류2동,2015,1인가구,2450.0
697,수궁동,2015,1인가구,1596.0
698,가리봉동,2015,1인가구,2303.0
699,구로2동,2015,1인가구,4266.0
