,기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
145,2010,강북구,수유1동,7857.0,1760.0,1915.0,1876.0,1660.0,468.0,178.0
146,2010,강북구,수유2동,7827.0,1472.0,1932.0,1995.0,1711.0,516.0,201.0
147,2010,강북구,수유3동,9088.0,2793.0,2253.0,1961.0,1481.0,447.0,153.0
148,2010,강북구,삼양동,10701.0,2250.0,2531.0,2652.0,2378.0,663.0,227.0
149,2010,강북구,미아동,8384.0,2038.0,2078.0,2036.0,1643.0,433.0,156.0
150,2010,강북구,송중동,11935.0,2692.0,2925.0,2737.0,2572.0,774.0,235.0
151,2010,강북구,송천동,11350.0,2986.0,2748.0,2485.0,2345.0,576.0,210.0
152,2010,강북구,삼각산동,9408.0,1192.0,1917.0,2422.0,2954.0,693.0,230.0
153,2010,강북구,우이동,6862.0,1290.0,1657.0,1702.0,1549.0,470.0,194.0
154,2010,강북구,인수동,11031.0,2152.0,2699.0,2773.0,2516.0,655.0,236.0
156,2010,도봉구,쌍문1동,7285.0,1500.0,1626.0,1770.0,1740.0,477.0,172.0
157,2010,도봉구,쌍문2동,7107.0,1357.0,1688.0,1754.0,1781.0,399.0,128.0
158,2010,도봉구,쌍문3동,6468.0,1464.0,1532.0,1546.0,1429.0,366.0,131.0
159,2010,도봉구,쌍문4동,6713.0,955.0,1193.0,1764.0,2177.0,506.0,118.0
160,2010,도봉구,방학1동,10617.0,2044.0,2390.0,2639.0,2641.0,700.0,203.0
161,2010,도봉구,방학2동,7877.0,1529.0,1871.0,1894.0,1857.0,572.0,154.0
162,2010,도봉구,방학3동,9618.0,979.0,1800.0,2567.0,3317.0,736.0,219.0
163,2010,도봉구,창1동,9794.0,1944.0,2223.0,2468.0,2483.0,534.0,142.0
164,2010,도봉구,창2동,10355.0,1866.0,2359.0,2643.0,2573.0,687.0,227.0
165,2010,도봉구,창3동,5633.0,1281.0,1285.0,1336.0,1302.0,329.0,100.0
166,2010,도봉구,창4동,10012.0,1628.0,2052.0,2484.0,3026.0,660.0,162.0
167,2010,도봉구,창5동,8970.0,1273.0,1888.0,2406.0,2660.0,579.0,164.0
168,2010,도봉구,도봉1동,8304.0,1782.0,2211.0,1990.0,1690.0,475.0,156.0
169,2010,도봉구,도봉2동,10194.0,1631.0,2392.0,2649.0,2596.0,699.0,227.0
171,2010,노원구,월계1동,8214.0,1825.0,1902.0,1869.0,1909.0,546.0,163.0
172,2010,노원구,월계2동,11204.0,2328.0,2869.0,2716.0,2519.0,618.0,154.0
173,2010,노원구,월계3동,12506.0,2068.0,3177.0,3226.0,3134.0,707.0,194.0
174,2010,노원구,공릉2동,14230.0,2233.0,2644.0,3583.0,4465.0,1045.0,260.0
175,2010,노원구,하계1동,10214.0,2083.0,2215.0,2268.0,2863.0,624.0,161.0
