역명,요일,구분,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
공릉,Monday,하차,781418.0,777099.0,793499.0,780972.0,790983.0,800647.0,779868.0,759223.0,747382.0,734510.0,729052.5
공릉,Saturday,하차,543004.0,518751.0,544242.0,563722.0,540054.0,552920.0,558994.0,538658.0,543374.0,535855.0,491617.5
공릉,Sunday,하차,407588.0,390994.0,404528.0,410284.0,421709.0,431245.0,441768.0,430537.0,428810.0,432483.0,417481.5
공릉,Thursday,하차,777729.0,782920.0,789533.0,799783.0,796614.0,774799.0,771297.0,770374.0,751352.0,746374.0,674569.5
공릉,Tuesday,하차,798745.0,763593.0,786777.0,791666.0,785143.0,808357.0,779981.0,759595.0,748882.0,728329.0,676567.5
공릉,Wednesday,하차,781859.0,780915.0,781348.0,804523.0,770678.0,786537.0,790447.0,763022.0,746197.0,740365.0,685591.5
광나루,Friday,하차,714310.0,712464.0,755488.0,754602.0,806438.0,785213.0,811972.0,778005.0,766530.0,744423.0,657376.5
광나루,Monday,하차,708751.0,708670.0,736781.0,713557.0,763930.0,781802.0,788298.0,763729.0,717584.0,708226.0,728256.0
광나루,Saturday,하차,647971.0,621968.0,655297.0,673970.0,641258.0,662702.0,672501.0,646901.0,639952.0,618966.0,552177.0
광나루,Sunday,하차,476323.0,442290.0,463882.0,464176.0,486977.0,508382.0,509836.0,480651.0,463832.0,463563.0,427581.0
광나루,Thursday,하차,712166.0,735681.0,751026.0,741498.0,782503.0,793068.0,787126.0,791810.0,748641.0,738670.0,674074.5
광나루,Tuesday,하차,732115.0,705824.0,749475.0,730552.0,769061.0,798879.0,801014.0,775392.0,739534.0,715355.0,681678.0
광나루,Wednesday,하차,721596.0,729477.0,740730.0,744538.0,759654.0,802637.0,819932.0,784110.0,735698.0,733983.0,698643.0
광화문,Friday,하차,2093065.0,2084822.0,2097293.0,2160212.0,2225535.0,2162538.0,2276212.0,2272240.0,2376212.0,2339034.0,1986240.0
광화문,Monday,하차,2000510.0,1972673.0,1934038.0,1958377.0,2058002.0,2054879.0,2151626.0,2142652.0,2132546.0,2146331.0,2115924.0
광화문,Saturday,하차,1353612.0,1372772.0,1348081.0,1418872.0,1387722.0,1414268.0,1494258.0,1400427.0,1990666.0,1588494.0,1192365.0
광화문,Sunday,하차,888823.0,964632.0,963864.0,970343.0,988721.0,1045455.0,1098923.0,978125.0,971665.0,989304.0,885739.5
광화문,Thursday,하차,2049798.0,2099604.0,2055937.0,2097363.0,2179487.0,2126133.0,2236748.0,2320400.0,2303379.0,2327805.0,2092512.0
광화문,Tuesday,하차,2131752.0,2007936.0,2034767.0,2068310.0,2103943.0,2186472.0,2266942.0,2246729.0,2259184.0,2220548.0,2031582.0
광화문,Wednesday,하차,2081656.0,2054716.0,1989345.0,2085821.0,2084317.0,2127132.0,2306516.0,2283548.0,2274647.0,2333803.0,2107485.0
광흥창,Friday,하차,485298.0,511315.0,544455.0,553424.0,562773.0,543921.0,552145.0,538735.0,566524.0,567345.0,491340.0
광흥창,Monday,하차,494398.0,516411.0,532355.0,536191.0,551030.0,558171.0,554281.0,538945.0,534067.0,536836.0,536782.5
광흥창,Saturday,하차,294422.0,299404.0,318121.0,326360.0,315622.0,322327.0,339810.0,329832.0,349519.0,341226.0,294333.0
광흥창,Sunday,하차,201629.0,211578.0,229630.0,234877.0,242548.0,243477.0,255468.0,252055.0,256749.0,264646.0,249630.0
광흥창,Thursday,하차,489067.0,525906.0,538957.0,538510.0,550572.0,538136.0,549666.0,554067.0,557216.0,567607.0,516802.5
광흥창,Tuesday,하차,511521.0,511335.0,537030.0,537136.0,534272.0,557261.0,553099.0,540524.0,546188.0,542389.0,500637.0
광흥창,Wednesday,하차,498248.0,532461.0,535778.0,553472.0,532249.0,544733.0,566060.0,558946.0,552997.0,557534.0,511815.0
교대,Friday,하차,3371517.0,3405831.0,3622307.0,3681700.0,3651405.0,3425144.0,3427260.0,3228610.0,3334317.0,3219534.0,2857023.0
교대,Monday,하차,3350550.0,3408837.0,3531122.0,3450871.0,3465437.0,3454960.0,3402889.0,3212269.0,3110450.0,3004419.0,3037774.5
교대,Saturday,하차,1897902.0,1875510.0,2012144.0,2112506.0,2002160.0,1961044.0,1987690.0,1854564.0,1840598.0,1758125.0,1571095.5
교대,Sunday,하차,998779.0,999724.0,1097249.0,1138368.0,1119394.0,1101824.0,1147969.0,1071361.0,1029152.0,1035475.0,991702.5
교대,Thursday,하차,3444134.0,3532839.0,3680012.0,3629974.0,3591187.0,3390518.0,3389380.0,3332211.0,3268553.0,3235442.0,2906992.5
교대,Tuesday,하차,3564654.0,3400822.0,3654982.0,3582665.0,3445832.0,3535747.0,3466972.0,3271220.0,3226456.0,3091860.0,2874324.0
교대,Wednesday,하차,3488255.0,3537237.0,3555204.0,3655604.0,3420661.0,3401243.0,3478233.0,3309390.0,3222261.0,3151878.0,2889922.5
구로디지털단지,Friday,하차,3324482.0,3416273.0,3583452.0,3722235.0,3857036.0,3744613.0,3807225.0,3798014.0,3910411.0,3806488.0,3364984.5
구로디지털단지,Monday,하차,3333123.0,3433512.0,3519705.0,3552867.0,3712261.0,3786762.0,3823110.0,3780502.0,3666631.0,3581278.0,3649978.5
구로디지털단지,Saturday,하차,2249762.0,2201689.0,2257945.0,2406252.0,2338135.0,2369946.0,2419691.0,2368033.0,2448768.0,2360083.0,2133648.0
구로디지털단지,Sunday,하차,1509553.0,1510096.0,1563110.0,1666857.0,1709937.0,1726094.0,1771874.0,1756584.0,1779677.0,1790409.0,1676314.5
구로디지털단지,Thursday,하차,3357798.0,3507371.0,3577813.0,3654248.0,3801354.0,3707155.0,3781840.0,3901459.0,3810381.0,3792044.0,3443944.5
구로디지털단지,Tuesday,하차,3501139.0,3407754.0,3580301.0,3629333.0,3668039.0,3866056.0,3883535.0,3843374.0,3795891.0,3673528.0,3418836.0
구로디지털단지,Wednesday,하차,3447691.0,3518999.0,3509652.0,3700786.0,3659467.0,3705713.0,3892147.0,3880966.0,3783052.0,3741739.0,3485644.5
구산,Friday,하차,302375.0,303046.0,320399.0,325972.0,394268.0,348162.0,342971.0,344704.0,358536.0,355163.0,312004.5
구산,Monday,하차,304004.0,300159.0,312997.0,313037.0,325517.0,355642.0,346594.0,344457.0,343615.0,346823.0,353385.0
구산,Saturday,하차,253095.0,244954.0,256753.0,264951.0,249292.0,267132.0,262634.0,254956.0,264874.0,263351.0,235452.0
구산,Sunday,하차,179659.0,169095.0,174001.0,174869.0,178421.0,192168.0,190718.0,186683.0,188096.0,192448.0,184692.0
구산,Thursday,하차,299814.0,304132.0,313321.0,316410.0,328695.0,346401.0,341659.0,351226.0,351775.0,358444.0,329317.5
구산,Tuesday,하차,312631.0,301855.0,318217.0,319727.0,323108.0,362796.0,348447.0,349168.0,353006.0,351637.0,329718.0
구산,Wednesday,하차,309372.0,306568.0,314065.0,324756.0,322104.0,351539.0,354062.0,350333.0,352155.0,357098.0,334383.0
구의,Friday,하차,1400594.0,1430872.0,1442631.0,1451833.0,1464043.0,1393436.0,1380706.0,1386978.0,1435957.0,1348064.0,1200697.5
구의,Monday,하차,1420668.0,1465104.0,1433872.0,1401803.0,1419732.0,1418623.0,1398947.0,1389820.0,1361273.0,1298105.0,1333042.5
구의,Saturday,하차,1030799.0,994465.0,1016052.0,1030356.0,951694.0,947649.0,960997.0,940236.0,966181.0,940342.0,862527.0
구의,Sunday,하차,705182.0,676508.0,682576.0,686380.0,678403.0,672057.0,678656.0,675604.0,670489.0,682259.0,664276.5
구의,Thursday,하차,1425661.0,1482952.0,1444251.0,1430103.0,1442559.0,1381801.0,1382252.0,1427274.0,1410974.0,1356448.0,1251798.0
구의,Tuesday,하차,1483990.0,1453166.0,1452171.0,1429112.0,1407688.0,1441669.0,1413033.0,1409544.0,1406154.0,1323766.0,1247157.0
구의,Wednesday,하차,1460947.0,1488511.0,1428700.0,1449123.0,1396536.0,1398589.0,1429541.0,1425851.0,1402525.0,1341136.0,1264705.5
구파발,Friday,하차,377391.0,437248.0,517506.0,634039.0,697801.0,729513.0,774597.0,797345.0,877289.0,1032301.0,961989.0
구파발,Monday,하차,366062.0,430693.0,498535.0,614406.0,681582.0,724220.0,763020.0,788492.0,825482.0,970978.0,1049817.0
구파발,Saturday,하차,447395.0,483816.0,507622.0,600589.0,620088.0,650770.0,695662.0,679346.0,763004.0,924711.0,854473.5
구파발,Sunday,하차,376854.0,394716.0,417492.0,469109.0,496668.0,508795.0,542977.0,527840.0,548719.0,709922.0,674956.5
구파발,Thursday,하차,362010.0,449753.0,509424.0,629693.0,691803.0,723768.0,766045.0,809512.0,865002.0,1014630.0,984943.5
구파발,Tuesday,하차,375862.0,442136.0,515964.0,639763.0,679586.0,739160.0,786927.0,803565.0,848892.0,994900.0,994917.0
구파발,Wednesday,하차,363373.0,449165.0,506266.0,635866.0,675495.0,725868.0,784870.0,800488.0,854778.0,1017760.0,1013701.5
군자,Friday,하차,1157184.0,1206881.0,1254595.0,1294318.0,1338033.0,1319484.0,1341855.0,1330467.0,1378477.0,1329595.0,1188898.5
군자,Monday,하차,1149380.0,1195368.0,1218388.0,1233000.0,1286509.0,1311702.0,1311532.0,1296784.0,1277024.0,1254162.0,1287501.0
군자,Saturday,하차,943064.0,959241.0,986196.0,1039270.0,1020547.0,1032703.0,1058332.0,1035085.0,1061462.0,1015442.0,924855.0
군자,Sunday,하차,654529.0,666279.0,695012.0,723277.0,748642.0,762125.0,779087.0,764684.0,766629.0,769182.0,743304.0
군자,Thursday,하차,1155742.0,1243209.0,1235070.0,1258619.0,1302514.0,1300500.0,1308409.0,1342416.0,1325717.0,1308503.0,1212198.0
군자,Tuesday,하차,1199908.0,1200185.0,1230597.0,1254957.0,1277444.0,1347614.0,1323000.0,1315849.0,1312299.0,1279994.0,1210054.5
군자,Wednesday,하차,1181258.0,1245512.0,1223449.0,1271654.0,1278601.0,1303985.0,1357890.0,1326880.0,1324924.0,1307220.0,1248202.5
굽은다리,Friday,하차,457071.0,492355.0,514931.0,541092.0,553062.0,541176.0,537875.0,533939.0,551566.0,537104.0,477106.5
굽은다리,Monday,하차,455435.0,490083.0,504296.0,521741.0,544182.0,548879.0,539953.0,522511.0,517053.0,507905.0,522379.5
굽은다리,Saturday,하차,381689.0,406856.0,428724.0,456828.0,441487.0,440207.0,437956.0,430849.0,447684.0,420698.0,381405.0
굽은다리,Sunday,하차,286516.0,308955.0,321020.0,329494.0,333858.0,325867.0,326378.0,323244.0,322162.0,315071.0,299670.0
굽은다리,Thursday,하차,462883.0,508693.0,513619.0,537481.0,551552.0,540193.0,542814.0,547168.0,538850.0,534709.0,494380.5
