기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인이상가구
2010,강서구,염창동,12307,1123,2048,3437,4428,1024,247
2010,강서구,등촌1동,7853,2295,1622,1603,1805,414,114
2010,강서구,등촌2동,7001,993,1429,1869,2055,503,152
2010,강서구,등촌3동,13703,3004,3588,3309,2997,659,146
2010,강서구,화곡본동,12658,2944,2977,3048,2743,744,202
2010,강서구,화곡2동,6903,1373,1572,1701,1632,468,157
2010,강서구,화곡3동,7627,1350,1490,1994,2034,581,178
2010,강서구,화곡4동,7734,1688,1795,1936,1677,511,127
2010,강서구,화곡6동,8313,1753,1756,2077,2044,519,164
2010,강서구,화곡8동,9364,1830,2301,2367,2116,559,191
2010,강서구,가양1동,6372,878,1272,1657,1979,450,136
2010,강서구,가양2동,7695,2557,2085,1661,1037,287,68
2010,강서구,가양3동,7351,1858,2020,1714,1352,338,69
2010,강서구,발산1동,9885,1156,1811,2484,3302,907,225
2010,강서구,공항동,7960,2537,1878,1691,1357,348,149
2010,강서구,방화1동,10069,1873,2220,2434,2662,669,211
2010,강서구,방화2동,9290,2497,2238,2027,1804,544,180
2010,강서구,방화3동,10646,3163,2587,2293,1977,500,126
2010,강서구,화곡1동,18686,5126,4227,4251,3717,1031,334
2010,강서구,우장산동,12212,1806,2229,3080,3929,909,259
2010,구로구,소계,142678,30156,32185,34077,34362,9121,2777
2010,구로구,신도림동,11472,1263,2394,3223,3487,876,229
2010,구로구,구로1동,7462,1032,1514,1941,2326,528,121
2010,구로구,구로3동,12665,5755,2411,2075,1791,485,148
2010,구로구,구로4동,9274,1908,2651,2179,1892,488,156
2010,구로구,구로5동,10932,2402,2545,2562,2566,649,208
2010,구로구,고척1동,8207,1331,1716,2009,2349,615,187
2010,구로구,고척2동,9988,1790,2025,2564,2713,697,199
2010,구로구,개봉2동,10823,1230,2366,3021,3036,879,291
2010,구로구,개봉3동,7138,1075,1564,1887,1922,529,161
2010,구로구,오류1동,7340,1583,1794,1720,1614,466,163
2010,구로구,오류2동,9332,1580,2141,2323,2407,679,202
2010,구로구,수궁동,7793,1079,1786,2019,2108,610,191
2010,구로구,가리봉동,5722,2398,1277,1000,754,220,73
2010,구로구,구로2동,12516,3474,3272,2619,2291,622,238
2010,구로구,개봉1동,12014,2256,2729,2935,3106,778,210
2010,금천구,소계,86533,23274,19298,18847,18689,4889,1536
2010,금천구,가산동,8689,4330,1572,1277,1126,293,91
2010,금천구,독산1동,12299,4118,2576,2355,2345,690,215
2010,금천구,독산2동,8418,2100,1931,1935,1863,455,134
2010,금천구,독산3동,10531,2809,2539,2313,2129,574,167
2010,금천구,독산4동,6868,1768,1635,1498,1449,401,117
2010,금천구,시흥1동,10986,2802,2653,2461,2406,512,152
2010,금천구,시흥2동,7950,953,1737,2124,2349,582,205
2010,금천구,시흥3동,4177,735,996,1063,1019,268,96
2010,금천구,시흥4동,8211,1687,1815,1927,2073,534,175
2010,금천구,시흥5동,8404,1972,1844,1894,1930,580,184
2010,영등포구,소계,138637,34158,32312,31145,30647,7984,2391
2010,영등포구,여의도동,10789,1676,2639,2876,2697,695,206
2010,영등포구,당산1동,7411,1989,1858,1589,1443,414,118
2010,영등포구,당산2동,11629,2866,2524,2592,2711,714,222
2010,영등포구,양평1동,6101,1540,1506,1469,1165,314,107
2010,영등포구,양평2동,6857,1188,1393,1678,1985,452,161
2010,영등포구,신길1동,8881,3318,2099,1554,1418,361,131
2010,영등포구,신길3동,6794,1650,1585,1475,1564,414,106
2010,영등포구,신길4동,4557,1094,1101,1042,984,270,66
2010,영등포구,신길5동,6056,1560,1446,1291,1325,333,101
2010,영등포구,신길6동,8542,1972,1998,1960,2018,470,124
2010,영등포구,신길7동,6038,1246,1290,1341,1638,437,86
2010,영등포구,대림1동,5750,1452,1338,1288,1250,328,94
2010,영등포구,대림2동,6505,1498,1783,1498,1283,335,108
2010,영등포구,대림3동,9437,1919,2225,2233,2294,591,175
2010,영등포구,영등포본동,9028,2390,2036,1943,1957,553,149
2010,영등포구,영등포동,6582,2963,1218,1075,917,298,111
2010,영등포구,도림동,7106,2177,1857,1504,1137,312,119
2010,영등포구,문래동,10574,1660,2416,2737,2861,693,207
2010,동작구,소계,145744,40256,33201,30934,30440,8269,2644
2010,동작구,노량진2동,7528,3182,1727,1180,1087,270,82
2010,동작구,상도1동,15818,5599,3406,2995,2815,746,257
2010,동작구,상도2동,9269,2437,2106,2034,1987,535,170
2010,동작구,상도3동,8400,1926,1972,1958,1804,537,203
2010,동작구,상도4동,9919,2023,2326,2343,2345,677,205
2010,동작구,사당1동,9456,3108,2586,1779,1465,386,132
2010,동작구,사당3동,8451,1688,2010,2041,2005,545,162
2010,동작구,사당4동,5324,1128,1384,1256,1172,291,93
2010,동작구,사당5동,5423,1194,1274,1294,1241,320,100
2010,동작구,대방동,13417,3025,2712,2995,3498,914,273
2010,동작구,신대방1동,9089,2033,1983,1973,2297,639,164
2010,동작구,신대방2동,7073,1657,1545,1557,1674,478,162
2010,동작구,흑석동,12214,4158,2644,2312,2214,660,226
2010,동작구,노량진1동,13855,4894,2831,2621,2570,721,218
2010,동작구,사당2동,10508,2204,2695,2596,2266,550,197
2010,관악구,소계,217359,84423,45930,38542,35910,9582,2972
2010,관악구,보라매동,9701,2689,2219,2140,1947,556,150
2010,관악구,청림동,5780,986,1439,1495,1412,342,106
2010,관악구,행운동,13596,6353,2793,2082,1753,471,144
2010,관악구,낙성대동,8452,4383,1632,1083,971,283,100
2010,관악구,중앙동,6135,2475,1417,1050,869,237,87
2010,관악구,인헌동,11882,4496,2561,2077,2050,513,185
2010,관악구,남현동,6774,1975,1714,1364,1281,340,100
2010,관악구,서원동,11222,4933,2703,1731,1391,324,140
2010,관악구,신원동,8163,2723,2189,1561,1250,349,91
2010,관악구,서림동,12955,7625,1955,1546,1299,399,131
2010,관악구,신사동,10798,4094,2504,1915,1743,432,110
2010,관악구,신림동,10403,6859,1844,886,585,170,59
2010,관악구,난향동,5895,989,1322,1474,1566,410,134
2010,관악구,조원동,6984,2564,1628,1293,1134,282,83
2010,관악구,대학동,15859,11422,1687,1195,1137,325,93
2010,관악구,은천동,12822,2932,3047,2972,2842,795,234
2010,관악구,성현동,11466,1760,2735,2848,3090,760,273
2010,관악구,청룡동,15709,7916,3128,2100,1912,496,157
2010,관악구,난곡동,10903,2516,2548,2597,2450,623,169
2010,관악구,삼성동,10133,2185,2408,2381,2255,702,202
2010,관악구,미성동,11727,2548,2457,2752,2973,773,224
2010,서초구,소계,136840,29188,29678,31999,34533,8787,2655
2010,서초구,서초1동,7457,2374,1515,1537,1507,379,145
2010,서초구,서초2동,8117,2053,1759,1815,1903,448,139
2010,서초구,서초3동,9749,2349,2107,2166,2253,671,203
2010,서초구,서초4동,9359,1142,1828,2544,2997,686,162
2010,서초구,잠원동,12548,2985,2858,2871,3088,604,142
2010,서초구,반포본동,3614,313,703,964,1275,269,90
2010,서초구,반포1동,11402,3975,2372,2129,2147,598,181
2010,서초구,반포2동,6071,488,1142,1614,2138,533,156
2010,서초구,반포3동,7291,899,1484,1932,2389,483,104
2010,서초구,반포4동,6288,860,1363,1688,1729,514,134
2010,서초구,방배본동,6339,970,1354,1536,1816,492,171
2010,서초구,방배1동,5428,1059,1361,1300,1268,327,113
2010,서초구,방배2동,8476,1621,1931,2060,2110,571,183
2010,서초구,방배3동,7814,1178,1654,2067,2162,566,187
2010,서초구,방배4동,8033,1683,1779,1804,2027,553,187
2010,서초구,양재1동,9071,2310,2265,2032,1792,498,174
2010,서초구,양재2동,8211,2611,1800,1599,1610,464,127
2010,서초구,내곡동,1572,318,403,341,322,131,57
2010,강남구,소계,200965,59528,42772,41331,43953,10670,2711
2010,강남구,신사동,7457,2271,1850,1511,1370,351,104
2010,강남구,논현1동,13261,7271,2962,1485,1115,329,99
2010,강남구,논현2동,10192,4526,2218,1599,1353,369,127
2010,강남구,삼성1동,5177,1239,1051,1217,1251,283,136
2010,강남구,삼성2동,11903,3801,2472,2442,2459,582,147
2010,강남구,대치1동,6785,277,926,1842,2833,759,148
2010,강남구,대치4동,9694,4436,1967,1505,1366,329,91
2010,강남구,역삼1동,18924,11361,3923,1763,1342,414,121
2010,강남구,역삼2동,12733,4061,2591,2555,2676,651,199
2010,강남구,도곡1동,6966,1472,1358,1662,1918,449,107
2010,강남구,도곡2동,9973,1200,2117,2742,3095,687,132
2010,강남구,개포1동,7687,1566,1744,1903,1962,432,80
2010,강남구,개포4동,8169,2171,1693,1757,1912,506,130
2010,강남구,일원본동,6680,744,1202,1666,2406,518,144
2010,강남구,일원1동,6589,1675,1545,1466,1372,417,114
2010,강남구,일원2동,6584,1334,1510,1627,1683,360,70
2010,강남구,수서동,7021,1996,2249,1550,958,216,52
2010,강남구,세곡동,1399,259,347,317,313,108,55
2010,강남구,압구정동,9111,1564,2292,2411,2205,486,153
2010,강남구,청담동,10126,2467,2190,2296,2352,632,189
2010,강남구,대치2동,12521,1456,1894,3234,4748,997,192
2010,강남구,개포2동,12013,2381,2671,2781,3264,795,121
2010,송파구,소계,219426,42222,46802,52671,58910,14744,4077
2010,송파구,풍납1동,6988,1704,1645,1658,1506,349,126
2010,송파구,풍납2동,9403,1860,2018,2258,2493,603,171
2010,송파구,거여1동,4910,823,958,1182,1440,403,104
2010,송파구,거여2동,9667,1991,2148,2281,2471,620,156
2010,송파구,마천1동,6463,1554,1461,1472,1452,396,128
2010,송파구,마천2동,7653,1596,1697,1758,1911,538,153
2010,송파구,방이1동,4953,655,880,1209,1664,436,109
2010,송파구,방이2동,9466,2952,2111,2017,1720,492,174
2010,송파구,오륜동,5477,238,829,1553,2216,527,114
2010,송파구,오금동,11630,1672,2303,2983,3514,922,236
2010,송파구,송파1동,9458,2448,2260,2080,1973,518,179
2010,송파구,송파2동,5815,579,1020,1507,2031,535,143
2010,송파구,석촌동,13354,4027,3228,2789,2459,671,180
2010,송파구,삼전동,13702,4418,3312,2738,2457,585,192
2010,송파구,가락본동,9019,1652,1769,2225,2551,648,174
2010,송파구,가락1동,5567,1365,1335,1296,1277,248,46
2010,송파구,가락2동,10469,1192,1793,2621,3772,869,222
2010,송파구,문정1동,6899,1042,1407,1770,2026,503,151
2010,송파구,문정2동,4642,347,1023,1243,1538,398,93
2010,송파구,장지동,11689,1876,2474,2806,3273,1014,246
2010,송파구,잠실본동,12068,4120,2890,2272,2091,537,158
2010,송파구,잠실4동,9598,1010,2112,2696,2953,626,201
2010,송파구,잠실6동,5043,426,1095,1375,1596,419,132
2010,송파구,잠실7동,3135,233,704,851,1034,255,58
2010,송파구,잠실2동,11104,1403,2066,2828,3856,750,201
2010,송파구,잠실3동,11254,1039,2264,3203,3636,882,230
2010,강동구,소계,159630,31719,33910,38729,41820,10529,2923
2010,강동구,강일동,6387,609,1269,1741,2004,602,162
2010,강동구,상일동,8592,1048,1732,2322,2739,621,130
2010,강동구,명일1동,8553,1062,1603,2199,2839,694,156
2010,강동구,명일2동,5248,403,802,1360,2071,491,121
2010,강동구,고덕1동,7341,1177,1391,1859,2253,535,126
2010,강동구,고덕2동,6260,1355,1365,1487,1581,376,96
2010,강동구,암사2동,5219,791,1136,1391,1466,343,92
2010,강동구,암사3동,5538,455,992,1485,1996,474,136
2010,강동구,천호1동,10844,2540,2490,2549,2384,683,198
2010,강동구,천호3동,10614,3748,2433,2131,1666,472,164
2010,강동구,성내1동,6550,959,1355,1708,1891,503,134
