기간,자치구,동,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구,일반가구
기간,자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구
2015,구로구,고척1동,8883,1904,2177,2126,2064,460,127,25
2015,구로구,고척2동,10840,2600,2585,2606,2310,576,130,33
2015,구로구,개봉2동,11657,1961,3054,3091,2633,684,184,50
2015,구로구,개봉3동,7768,1499,2085,1966,1682,421,95,20
2015,구로구,오류1동,8572,2831,2188,1712,1355,369,91,26
2015,구로구,오류2동,15026,2450,3970,3573,3701,1050,223,59
2015,구로구,수궁동,8772,1596,2412,2230,1857,515,120,42
2015,구로구,가리봉동,5029,2303,1337,748,468,127,35,11
2015,구로구,구로2동,12153,4266,3344,2229,1701,454,127,32
2015,구로구,개봉1동,12656,2917,3338,3017,2571,610,165,38
2015,금천구,소계,93443,31219,22485,19099,15649,3816,904,271
2015,금천구,가산동,10348,6116,1866,1215,865,218,55,13
2015,금천구,독산1동,13476,5671,2934,2340,1901,478,118,34
2015,금천구,독산2동,8600,2742,2105,1854,1447,350,77,25
2015,금천구,독산3동,10825,3592,2781,2259,1684,392,89,28
2015,금천구,독산4동,7100,2334,1723,1522,1143,292,61,25
2015,금천구,시흥1동,13584,3864,3497,2961,2528,569,125,40
2015,금천구,시흥2동,7976,1288,1969,2047,2011,478,134,49
2015,금천구,시흥3동,4416,905,1234,1109,890,214,48,16
2015,금천구,시흥4동,8411,2048,2156,1948,1692,448,97,22
2015,금천구,시흥5동,8707,2659,2220,1844,1488,377,100,19
2015,영등포구,소계,147745,48433,36647,30391,24698,5811,1369,396
2015,영등포구,여의도동,10910,1724,3079,2994,2409,534,128,42
2015,영등포구,당산1동,8532,3064,2202,1647,1214,321,63,21
2015,영등포구,당산2동,14390,5472,3140,2713,2376,501,152,36
2015,영등포구,양평1동,6971,2366,1825,1436,1043,231,53,17
2015,영등포구,양평2동,7951,2189,1784,1805,1692,362,86,33
2015,영등포구,신길1동,9079,4069,2139,1440,1047,304,63,17
2015,영등포구,신길3동,5894,1823,1482,1228,1026,272,47,16
2015,영등포구,신길4동,4570,1389,1241,944,736,208,42,10
2015,영등포구,신길5동,5772,1837,1559,1129,924,233,69,21
2015,영등포구,신길6동,8386,2555,2075,1817,1491,357,77,14
2015,영등포구,신길7동,5199,1335,1219,1196,1117,259,60,13
2015,영등포구,대림1동,6044,1984,1559,1259,924,238,64,16
2015,영등포구,대림2동,6091,2130,1727,1178,790,193,51,22
2015,영등포구,대림3동,10046,2798,2621,2226,1848,408,114,31
2015,영등포구,영등포본동,9118,2828,2243,1949,1636,368,71,23
2015,영등포구,영등포동,9455,5550,1850,1038,764,196,44,13
2015,영등포구,도림동,8523,3188,2238,1595,1155,271,60,16
2015,영등포구,문래동,10814,2132,2664,2797,2506,555,125,35
2015,동작구,소계,161000,53954,38290,32701,27457,6660,1525,413
2015,동작구,노량진2동,6546,2949,1584,1019,740,193,53,8
2015,동작구,상도1동,19365,7160,4216,3862,3190,745,151,41
2015,동작구,상도2동,9970,3390,2391,1954,1722,389,99,25
2015,동작구,상도3동,9690,3017,2383,2071,1631,423,117,48
2015,동작구,상도4동,11234,3075,2907,2542,2074,502,106,28
2015,동작구,사당1동,10633,4615,2654,1773,1203,297,75,16
