,기간,자치구,동,세대,계_계,계_남,계_여,한국인_계,한국인_남,한국인_여,외국인_계,외국인_남,외국인_여,세대당인구,65세이상고령자
103,2008,동대문구,이문1동,"6,642","15,771","7,843","7,928","14,269","7,099","7,170","1,502",744,758,2.15,"1,399"
104,2008,동대문구,이문2동,"9,486","19,898","9,961","9,937","19,191","9,630","9,561",707,331,376,2.02,"1,826"
105,2008,동대문구,이문3동,"9,030","24,392","12,118","12,274","24,210","12,046","12,164",182,72,110,2.68,"2,106"
106,2008,동대문구,용두동,"9,399","20,226","10,556","9,670","19,351","10,154","9,197",875,402,473,2.06,"2,586"
107,2008,동대문구,전농2동,"8,825","19,356","10,057","9,299","19,187","9,993","9,194",169,64,105,2.17,"2,272"
108,2008,동대문구,답십리3동,"6,567","15,712","7,975","7,737","15,466","7,865","7,601",246,110,136,2.36,"1,773"
109,2008,동대문구,청량리동,"10,810","26,223","13,135","13,088","25,292","12,705","12,587",931,430,501,2.34,"3,547"
110,2008,중랑구,소계,"171,183","432,845","216,344","216,501","427,871","214,351","213,520","4,974","1,993","2,981",2.5,"37,180"
111,2008,중랑구,면목2동,"11,880","28,980","14,625","14,355","28,758","14,534","14,224",222,91,131,2.42,"2,390"
112,2008,중랑구,면목4동,"10,130","24,060","11,724","12,336","23,882","11,646","12,236",178,78,100,2.36,"2,038"
113,2008,중랑구,면목5동,"6,243","15,054","7,650","7,404","14,904","7,602","7,302",150,48,102,2.39,"1,364"
114,2008,중랑구,면목7동,"10,690","26,961","13,467","13,494","26,802","13,410","13,392",159,57,102,2.51,"2,327"
115,2008,중랑구,상봉1동,"9,403","26,799","13,297","13,502","26,424","13,132","13,292",375,165,210,2.81,"2,062"
116,2008,중랑구,상봉2동,"8,805","19,185","9,718","9,467","18,980","9,630","9,350",205,88,117,2.16,"1,743"
117,2008,중랑구,중화1동,"8,155","22,688","11,300","11,388","22,137","11,079","11,058",551,221,330,2.71,"1,748"
118,2008,중랑구,중화2동,"14,662","32,887","16,765","16,122","32,459","16,583","15,876",428,182,246,2.21,"3,073"
119,2008,중랑구,묵1동,"12,753","35,031","17,311","17,720","34,723","17,188","17,535",308,123,185,2.72,"3,046"
120,2008,중랑구,묵2동,"8,234","20,495","10,350","10,145","20,379","10,312","10,067",116,38,78,2.47,"1,844"
121,2008,중랑구,망우3동,"8,324","20,457","10,320","10,137","20,337","10,273","10,064",120,47,73,2.44,"1,722"
122,2008,중랑구,신내1동,"9,973","29,110","14,495","14,615","28,853","14,381","14,472",257,114,143,2.89,"2,449"
123,2008,중랑구,신내2동,"9,442","26,400","12,945","13,455","26,361","12,929","13,432",39,16,23,2.79,"2,151"
124,2008,중랑구,면목본동,"15,739","38,781","19,289","19,492","37,581","18,821","18,760","1,200",468,732,2.39,"3,257"
125,2008,중랑구,면목3.8동,"12,692","30,908","15,537","15,371","30,697","15,453","15,244",211,84,127,2.42,"2,766"
126,2008,중랑구,망우본동,"14,058","35,049","17,551","17,498","34,594","17,378","17,216",455,173,282,2.46,"3,200"
127,2008,성북구,소계,"190,713","481,419","238,344","243,075","473,357","234,730","238,627","8,062","3,614","4,448",2.48,"47,242"
128,2008,성북구,돈암1동,"6,686","18,036","8,741","9,295","17,909","8,690","9,219",127,51,76,2.68,"1,763"
129,2008,성북구,돈암2동,"8,636","24,842","12,103","12,739","24,666","12,028","12,638",176,75,101,2.86,"2,218"
130,2008,성북구,안암동,"8,643","18,854","9,635","9,219","17,507","8,986","8,521","1,347",649,698,2.03,"1,616"
131,2008,성북구,보문동,"7,646","17,735","8,838","8,897","17,353","8,692","8,661",382,146,236,2.27,"1,796"
132,2008,성북구,정능1동,"6,867","19,272","9,192","10,080","18,552","8,890","9,662",720,302,418,2.7,"2,035"
133,2008,성북구,정능2동,"9,519","24,725","12,296","12,429","24,636","12,253","12,383",89,43,46,2.59,"2,499"
134,2008,성북구,정능3동,"8,157","19,240","9,633","9,607","19,049","9,552","9,497",191,81,110,2.34,"2,204"
135,2008,성북구,정능4동,"10,738","28,254","13,969","14,285","28,083","13,887","14,196",171,82,89,2.62,"2,753"
136,2008,성북구,길음1동,"10,198","28,909","14,079","14,830","28,579","13,917","14,662",330,162,168,2.8,"2,202"
137,2008,성북구,길음2동,"9,018","21,122","10,342","10,780","21,020","10,293","10,727",102,49,53,2.33,"2,169"
138,2008,성북구,월곡1동,"10,502","28,117","13,987","14,130","27,620","13,779","13,841",497,208,289,2.63,"2,556"
139,2008,성북구,월곡2동,"8,469","22,214","11,020","11,194","21,995","10,933","11,062",219,87,132,2.6,"2,233"
140,2008,성북구,장위1동,"10,776","28,276","14,085","14,191","27,690","13,825","13,865",586,260,326,2.57,"2,568"
141,2008,성북구,장위2동,"9,902","24,677","12,468","12,209","24,530","12,405","12,125",147,63,84,2.48,"2,499"
142,2008,성북구,장위3동,"7,945","19,272","9,906","9,366","19,061","9,801","9,260",211,105,106,2.4,"2,087"
143,2008,성북구,성북동,"8,302","20,045","9,719","10,326","19,308","9,395","9,913",737,324,413,2.33,"2,463"
144,2008,성북구,삼선동,"11,598","27,430","13,445","13,985","26,951","13,217","13,734",479,228,251,2.32,"2,810"
145,2008,성북구,동선동,"7,373","15,633","7,261","8,372","15,275","7,091","8,184",358,170,188,2.07,"1,667"
146,2008,성북구,종암동,"14,610","36,870","18,599","18,271","36,375","18,365","18,010",495,234,261,2.49,"3,521"
147,2008,성북구,석관동,"15,128","37,896","19,026","18,870","37,198","18,731","18,467",698,295,403,2.46,"3,583"
148,2008,강북구,소계,"136,300","345,754","171,180","174,574","342,274","169,887","172,387","3,480","1,293","2,187",2.51,"36,649"
149,2008,강북구,번1동,"8,570","20,389","10,035","10,354","19,995","9,891","10,104",394,144,250,2.33,"2,054"
150,2008,강북구,번2동,"8,200","21,171","10,483","10,688","21,073","10,456","10,617",98,27,71,2.57,"2,240"
151,2008,강북구,번3동,"7,824","22,334","10,813","11,521","22,279","10,797","11,482",55,16,39,2.85,"2,580"
152,2008,강북구,수유1동,"9,560","23,852","11,995","11,857","23,328","11,801","11,527",524,194,330,2.44,"2,560"
153,2008,강북구,수유2동,"9,070","23,620","11,644","11,976","23,523","11,615","11,908",97,29,68,2.59,"2,839"
154,2008,강북구,수유3동,"10,569","24,437","12,118","12,319","24,216","12,021","12,195",221,97,124,2.29,"2,727"
155,2008,강북구,삼양동,"13,326","33,821","16,915","16,906","33,095","16,647","16,448",726,268,458,2.48,"3,262"
156,2008,강북구,미아동,"10,355","25,245","12,630","12,615","24,863","12,471","12,392",382,159,223,2.4,"2,465"
157,2008,강북구,송중동,"14,388","36,753","17,935","18,818","36,455","17,836","18,619",298,99,199,2.53,"3,714"
158,2008,강북구,송천동,"13,839","33,314","16,577","16,737","33,033","16,467","16,566",281,110,171,2.39,"3,611"
159,2008,강북구,삼각산동,"8,440","24,635","12,182","12,453","24,571","12,155","12,416",64,27,37,2.91,"1,937"
160,2008,강북구,우이동,"8,622","21,864","11,001","10,863","21,718","10,941","10,777",146,60,86,2.52,"2,701"
161,2008,강북구,인수동,"13,537","34,319","16,852","17,467","34,125","16,789","17,336",194,63,131,2.52,"3,959"
162,2008,도봉구,소계,"139,733","376,698","186,476","190,222","373,936","185,376","188,560","2,762","1,100","1,662",2.68,"34,750"
163,2008,도봉구,쌍문1동,"8,955","23,732","11,693","12,039","23,323","11,540","11,783",409,153,256,2.6,"2,565"
164,2008,도봉구,쌍문2동,"8,296","21,781","10,745","11,036","21,688","10,713","10,975",93,32,61,2.61,"2,046"
165,2008,도봉구,쌍문3동,"7,359","19,091","9,374","9,717","18,991","9,332","9,659",100,42,58,2.58,"1,876"
166,2008,도봉구,쌍문4동,"7,580","22,231","10,818","11,413","22,197","10,809","11,388",34,9,25,2.93,"1,765"
167,2008,도봉구,방학1동,"11,960","33,448","16,693","16,755","32,992","16,507","16,485",456,186,270,2.76,"2,771"
168,2008,도봉구,방학2동,"9,876","25,098","12,711","12,387","24,931","12,643","12,288",167,68,99,2.52,"2,371"
169,2008,도봉구,방학3동,"11,008","33,088","16,340","16,748","33,024","16,312","16,712",64,28,36,3,"2,751"
170,2008,도봉구,창1동,"11,143","29,892","14,610","15,282","29,355","14,389","14,966",537,221,316,2.63,"2,700"
171,2008,도봉구,창2동,"12,255","31,937","15,772","16,165","31,731","15,671","16,060",206,101,105,2.59,"2,658"
172,2008,도봉구,창3동,"6,702","16,805","8,489","8,316","16,741","8,469","8,272",64,20,44,2.5,"1,532"
173,2008,도봉구,창4동,"11,446","31,630","15,382","16,248","31,573","15,353","16,220",57,29,28,2.76,"2,550"
174,2008,도봉구,창5동,"10,265","28,917","14,232","14,685","28,811","14,186","14,625",106,46,60,2.81,"2,409"
