2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
신내동 (45),길음동 (48),남현동 (49),신천동 (51),제기동 (54),제기동 (53),회기동 (56),도화동 (73),묵동 (80),삼전동 (88),남대문로5가 (96),능동 (33)
이태원동 (44),동교동 (48),상일동 (49),남가좌동 (51),성산동 (53),일원동 (53),거여동 (56),상일동 (73),제기동 (79),신내동 (88),신내동 (96),영등포동 (32)
삼전동 (44),이문동 (47),오류동 (48),역촌동 (50),거여동 (52),상수동 (53),오류동 (56),신내동 (73),답십리동 (79),홍은동 (83),하왕십리동 (94),양평동2가 (31)
역촌동 (43),삼전동 (47),일원동 (47),군자동 (50),남현동 (51),공덕동 (52),휘경동 (55),길음동 (72),대현동 (77),장지동 (82),삼전동 (93),당산동6가 (31)
한강로3가 (43),성수동1가 (47),공덕동 (47),오금동 (50),상수동 (51),둔촌동 (52),공항동 (55),마천동 (72),신대방동 (77),안암동5가 (82),장위동 (92),대흥동 (30)
오금동 (42),염창동 (44),답십리동 (47),제기동 (49),상일동 (51),광장동 (52),북가좌동 (55),답십리동 (71),마곡동 (76),장위동 (81),명일동 (91),창전동 (29)
묵동 (42),관철동 (42),연희동 (46),마천동 (49),공덕동 (51),풍납동 (51),제기동 (53),충무로1가 (70),장위동 (75),제기동 (80),한강로2가 (91),금호동4가 (27)
성산동 (41),신내동 (42),풍납동 (45),풍납동 (49),홍은동 (49),석관동 (51),영등포동4가 (51),영등포동4가 (70),삼전동 (74),당산동3가 (79),용두동 (91),당산동4가 (26)
석관동 (40),신설동 (42),묵동 (45),창신동 (48),압구정동 (48),중화동 (51),도화동 (51),흑석동 (69),상일동 (73),공덕동 (78),을지로6가 (90),우면동 (26)
고덕동 (40),역촌동 (41),한남동 (44),거여동 (48),오금동 (48),휘경동 (51),중화동 (51),남가좌동 (67),동숭동 (72),영등포동4가 (78),광장동 (90),북아현동 (24)
염창동 (40),중화동 (41),신설동 (43),안암동5가 (48),석관동 (48),청량리동 (50),문래동3가 (50),거여동 (66),휘경동 (72),오류동 (78),홍은동 (89),문래동2가 (23)
길음동 (40),용두동 (40),고덕동 (43),합정동 (46),고덕동 (48),성수동1가 (49),신도림동 (49),홍은동 (64),염창동 (69),영등포동 (78),북가좌동 (89),신촌동 (23)
풍납동 (40),숭인동 (40),제기동 (43),회기동 (46),안암동5가 (48),연남동 (49),공덕동 (49),용두동 (63),홍은동 (69),둔촌동 (77),길음동 (88),도선동 (23)
군자동 (39),군자동 (40),합정동 (41),고덕동 (44),신대방동 (48),안암동5가 (49),상일동 (48),공항동 (63),군자동 (68),답십리동 (77),녹번동 (88),당산동5가 (22)
성수동1가 (38),북아현동 (40),거여동 (41),영등포동3가 (43),회기동 (45),오류동 (48),고척동 (47),이촌동 (63),문래동3가 (66),용두동 (76),소공동 (86),양평동1가 (22)
수서동 (38),거여동 (40),성산동 (41),광장동 (43),종암동 (45),거여동 (48),염창동 (47),영등포동3가 (62),길음동 (66),문래동3가 (76),한강로3가 (85),충정로3가 (22)
창신동 (37),가양동 (40),영등포동3가 (41),흑석동 (43),당산동3가 (45),문래동3가 (47),창신동 (47),삼전동 (62),흑석동 (64),휘경동 (75),오금동 (84),금호동2가 (22)
대현동 (37),고덕동 (38),명동2가 (39),숭인동 (42),풍납동 (44),고덕동 (47),홍은동 (46),휘경동 (61),창신동 (61),창신동 (74),안암동5가 (84),상도1동 (21)
용답동 (36),신천동 (38),노고산동 (39),소공동 (41),관철동 (44),남가좌동 (46),석관동 (46),동숭동 (61),영등포동3가 (61),흑석동 (73),영등포동4가 (84),금호동3가 (20)
녹번동 (34),종암동 (37),회기동 (39),연희동 (41),군자동 (44),영등포동3가 (44),신내동 (46),가양동 (60),진관동 (61),가리봉동 (72),문래동3가 (82),양평동3가 (20)
상일동 (34),휘경동 (37),휘경동 (39),상일동 (39),수서동 (42),북가좌동 (43),길음동 (46),광장동 (57),가양동 (59),마천동 (71),답십리동 (82),영등포동2가 (19)
연희동 (34),풍납동 (36),동선동1가 (38),한강로3가 (39),노고산동 (41),을지로6가 (43),군자동 (45),진관동 (57),청량리동 (59),수서동 (70),군자동 (81),도림동 (19)
한강로2가 (34),청량리동 (36),신도림동 (38),상수동 (38),녹번동 (41),회기동 (42),용두동 (45),수서동 (56),오금동 (58),북가좌동 (70),마천동 (81),사근동 (19)
중림동 (33),우이동 (34),안암동5가 (37),청량리동 (38),진관동 (41),진관동 (42),동선동1가 (44),문래동3가 (55),석관동 (58),가양동 (69),하월곡동 (81),냉천동 (18)
휘경동 (33),수서동 (34),청량리동 (36),을지로6가 (38),한강로3가 (40),영등포동4가 (42),영등포동3가 (43),남현동 (55),공항동 (57),길음동 (69),동선동1가 (80),당산동1가 (18)
문래동3가 (32),안암동5가 (33),종암동 (36),수서동 (38),문래동3가 (40),숭인동 (42),청량리동 (42),영등포동 (54),영등포동4가 (56),동선동1가 (68),동숭동 (79),옥수동 (18)
염리동 (32),상일동 (33),수서동 (36),신도림동 (38),동선동1가 (39),당산동3가 (42),충무로1가 (41),관철동 (54),충무로1가 (55),소공동 (67),휘경동 (78),금호동1가 (18)
명동2가 (32),하계동 (32),대흥동 (35),대흥동 (36),가양동 (37),창신동 (41),관철동 (41),북가좌동 (54),당산동3가 (54),한강로3가 (66),당산동3가 (77),영등포동7가 (17)
상암동 (32),녹번동 (32),충무로1가 (34),충무로1가 (36),영등포동3가 (37),관철동 (41),녹번동 (40),명동2가 (53),거여동 (53),녹번동 (66),청량리동 (77),삼선동5가 (17)
영등포동 (32),연희동 (31),하계동 (34),성수동1가 (36),오류동 (37),수서동 (41),진관동 (39),대방동 (53),풍납동 (52),석관동 (65),석관동 (76),충정로2가 (16)
대흥동 (31),당산동3가 (31),흑석동 (34),우이동 (35),연남동 (36),남현동 (40),풍납동 (39),청량리동 (52),일원동 (52),종암동 (65),가양동 (75),신공덕동 (16)
합정동 (31),용답동 (30),성수동1가 (34),녹번동 (35),숭인동 (36),군자동 (40),안암동5가 (39),오금동 (52),소공동 (52),군자동 (64),창신동 (74),영등포동5가 (16)
종암동 (31),합정동 (30),이촌동 (33),당산동3가 (35),광장동 (36),대흥동 (40),옥수동 (39),종암동 (52),녹번동 (51),충무로1가 (64),용산동2가 (73),궁동 (15)
신천동 (31),아현동 (30),소공동 (33),영등포동4가 (35),을지로6가 (36),신천동 (40),대흥동 (37),창신동 (51),용두동 (50),양평동4가 (63),수서동 (73),동소문동2가 (15)
청량리동 (30),흑석동 (29),문래동3가 (33),남대문로5가 (35),창신동 (36),녹번동 (38),용답동 (37),용답동 (51),청진동 (50),남현동 (60),오류동 (72),당산동2가 (15)
우이동 (30),노고산동 (29),군자동 (33),대방동 (35),소공동 (35),황학동 (38),소공동 (36),동선동1가 (50),후암동 (49),상일동 (60),양평동4가 (72),돈암동 (14)
영등포동3가 (29),충무로1가 (28),북아현동 (33),남현동 (35),대흥동 (34),증산동 (38),마천동 (35),군자동 (49),종암동 (48),거여동 (60),고덕동 (69),미근동 (14)
아현동 (28),광장동 (28),녹번동 (32),신내동 (35),휘경동 (34),한강로2가 (37),신수동 (34),청진동 (49),동선동1가 (48),염창동 (58),하계동 (68),상왕십리동 (14)
안암동5가 (28),대흥동 (27),당산동3가 (32),하계동 (35),이촌동 (34),종암동 (37),종암동 (33),고덕동 (49),용산동2가 (46),풍납동 (58),가리봉동 (67),삼선동2가 (13)
흑석동 (27),양평동1가 (27),북가좌동 (31),양평동4가 (34),우이동 (33),이촌동 (35),수서동 (33),당산동3가 (48),양평동4가 (46),청량리동 (57),둔촌동 (66),신원동 (13)
황학동 (27),동선동1가 (27),숭인동 (31),용답동 (33),가리봉동 (33),가리봉동 (35),남대문로5가 (32),공덕동 (48),남대문로5가 (46),오금동 (56),후암동 (66),마장동 (13)
대방동 (26),동숭동 (26),연남동 (30),영등포동 (33),북가좌동 (32),양평동4가 (34),동숭동 (32),소공동 (48),한강로2가 (46),광장동 (55),충무로1가 (64),동소문동4가 (12)
청진동 (25),소공동 (26),신수동 (30),한강로2가 (32),충무로1가 (31),우이동 (34),명동2가 (32),아현동 (47),명륜4가 (44),동숭동 (55),종암동 (64),삼선동1가 (12)
을지로6가 (24),염리동 (26),영등포동 (28),노고산동 (31),동숭동 (29),동숭동 (32),신설동 (32),황학동 (47),하계동 (44),대방동 (54),대방동 (64),동선동4가 (12)
가리봉동 (24),영등포동 (25),관철동 (28),휘경동 (31),영등포동 (29),대방동 (32),강일동 (32),가리봉동 (47),가리봉동 (43),신수동 (52),염창동 (63),영등포동8가 (11)
동선동1가 (23),영등포동3가 (25),상수동 (28),북가좌동 (30),창전동 (29),신내동 (31),아현동 (32),한강로3가 (46),용답동 (43),을지로2가 (52),황학동 (60),동소문동6가 (11)
