2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan),무교동 (nan)
회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan),회현동2가 (nan)
저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan),저동2가 (nan)
필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan),필동2가 (nan)
회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan),회현동1가 (nan)
황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan),황학동 (nan)
인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan),인현동1가 (nan)
다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan),다동 (nan)
태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan),태평로2가 (nan)
을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan),을지로3가 (nan)
명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan),명동1가 (nan)
필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan),필동1가 (nan)
남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan),남대문로4가 (nan)
서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan),서소문동 (nan)
