,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
321,천왕동 (6),천연동 (10),동소문동3가 (13),서린동 (17),구수동 (21),외발산동 (24),사근동 (27),안국동 (31),쌍림동 (37),서린동 (42),오장동 (50),수하동 (54)
322,서계동 (6),신문로1가 (10),동소문동4가 (13),회현동2가 (17),회현동2가 (20),회현동2가 (24),중동 (26),중동 (31),삼선동4가 (36),중동 (42),도렴동 (49),구수동 (52)
323,만리동2가 (6),교남동 (10),저동2가 (13),교북동 (17),상왕십리동 (20),청파동1가 (24),남산동2가 (26),무학동 (30),서린동 (36),충무로5가 (42),홍지동 (49),주교동 (51)
324,염곡동 (6),태평로1가 (10),저동1가 (13),만리동2가 (16),교북동 (20),서린동 (23),안국동 (26),청파동1가 (30),영천동 (36),명륜1가 (41),중동 (49),동소문동6가 (51)
325,오장동 (6),통의동 (10),서린동 (12),필운동 (16),흥인동 (20),소격동 (23),동소문동6가 (25),동소문동6가 (30),충무로5가 (36),삼선동1가 (41),충무로5가 (49),오장동 (50)
326,도렴동 (6),원효로1가 (9),명륜3가 (12),인현동2가 (16),영등포동1가 (20),필운동 (22),서린동 (25),천왕동 (30),무학동 (35),청파동1가 (41),nan (48),효창동 (50)
327,신문로1가 (6),동소문동7가 (9),강일동 (12),계동 (16),소격동 (19),신원동 (22),원효로4가 (25),장지동 (30),인현동2가 (35),무학동 (40),문래동1가 (48),무학동 (50)
328,연지동 (6),성북동1가 (9),효창동 (12),홍지동 (16),동선동3가 (19),과해동 (22),회현동2가 (25),동선동3가 (29),원남동 (34),내곡동 (39),청파동1가 (47),충무로5가 (49)
329,공평동 (6),만리동2가 (9),옥천동 (11),재동 (16),보문동2가 (18),쌍림동 (21),마포동 (25),서린동 (29),홍지동 (34),보문동1가 (39),삼선동1가 (46),동선동3가 (49)
330,삼선동3가 (6),문래동5가 (9),신영동 (11),저동2가 (16),동소문동1가 (18),교북동 (21),동선동3가 (24),명륜1가 (29),청파동1가 (34),쌍림동 (39),성북동1가 (45),홍지동 (49)
331,저동1가 (6),소격동 (9),필운동 (11),동소문동4가 (15),동소문동6가 (18),동소문동1가 (21),홍지동 (24),사근동 (29),보문동1가 (34),무악동 (39),문배동 (45),도렴동 (49)
332,남창동 (6),봉익동 (8),원남동 (11),화동 (15),동소문동4가 (18),동소문동4가 (21),수표동 (23),신원동 (29),명륜1가 (33),회현동2가 (39),인현동2가 (44),nan (48)
333,명동1가 (6),원남동 (8),홍지동 (11),동선동3가 (15),필운동 (18),영등포동1가 (21),동소문동4가 (23),원효로4가 (29),마포동 (33),응봉동 (38),구수동 (43),보문동1가 (48)
334,보문동6가 (6),공평동 (8),무학동 (11),구수동 (15),외발산동 (17),사근동 (21),소격동 (23),인현동2가 (29),동선동3가 (33),인현동2가 (38),남대문로4가 (42),청파동1가 (47)
335,안암동1가 (6),장충동1가 (8),원효로2가 (11),보문동5가 (14),교남동 (17),안국동 (21),영등포동1가 (23),수표동 (29),내곡동 (33),문배동 (37),원지동 (41),동소문동4가 (46)
336,세곡동 (6),원효로3가 (8),청파동1가 (11),저동1가 (14),봉래동1가 (17),상왕십리동 (20),남대문로4가 (22),수하동 (29),구수동 (32),원남동 (37),내곡동 (41),내곡동 (46)
337,인현동1가 (6),nan (8),보문동5가 (11),소격동 (14),홍지동 (17),성북동1가 (20),신영동 (22),내곡동 (28),회현동2가 (31),견지동 (35),동선동3가 (41),영등포동1가 (46)
338,무학동 (6),계동 (7),태평로1가 (11),남대문로4가 (14),성북동1가 (17),원효로4가 (20),중학동 (21),회현동2가 (28),천왕동 (31),구수동 (35),응봉동 (41),응봉동 (46)
339,신문로2가 (6),청파동1가 (7),필동3가 (11),무학동 (14),원효로4가 (17),화동 (20),천왕동 (21),오장동 (27),남대문로4가 (30),누하동 (35),회현동2가 (41),원지동 (45)
340,무악동 (6),안암동4가 (7),nan (10),오장동 (14),화동 (16),동소문동6가 (20),명륜1가 (21),화동 (25),가회동 (30),남대문로4가 (35),보문동1가 (41),문배동 (45)
341,운니동 (5),오장동 (7),계동 (10),동소문동1가 (14),안국동 (16),충무로5가 (19),수하동 (21),nan (24),원지동 (29),동선동3가 (34),저동1가 (40),인현동2가 (44)
342,충무로4가 (5),종로3가 (7),소격동 (10),청파동1가 (14),견지동 (16),홍지동 (19),성북동1가 (21),문배동 (24),문배동 (29),가회동 (34),마포동 (40),문래동5가 (44)
343,원효로1가 (5),을지로4가 (7),원효로4가 (10),을지로3가 (13),보문동5가 (16),봉래동1가 (19),오장동 (21),교남동 (24),수하동 (29),영등포동1가 (33),동소문동6가 (40),마포동 (44)
344,쌍림동 (5),을지로1가 (7),견지동 (10),견지동 (13),저동1가 (16),동선동3가 (19),신원동 (21),남대문로4가 (24),와룡동 (28),마포동 (33),무악동 (40),동선동5가 (43)
345,통의동 (5),현저동 (7),을지로1가 (10),사근동 (13),충무로5가 (16),수하동 (18),견지동 (21),중학동 (24),동소문동1가 (28),천왕동 (32),원남동 (39),동소문동1가 (42)
346,서소문동 (5),명륜3가 (7),인현동1가 (10),안국동 (13),오장동 (16),동빙고동 (18),동소문동1가 (21),장충동1가 (23),영등포동1가 (28),nan (32),영등포동1가 (39),남대문로4가 (42)
347,필운동 (5),현석동 (7),보문동4가 (10),공평동 (13),명륜1가 (15),보문동2가 (18),화동 (20),동빙고동 (23),성북동1가 (27),동소문동1가 (31),화동 (39),회현동2가 (41)
