area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
화곡동,1192.0,1267.0,1419.0,1543.0,1592.0,1622.0,1654.0,1700.0,1930.0,2067.0,2276.0,2276.0
염창동,101.0,121.0,166.0,187.0,222.0,226.0,230.0,242.0,239.0,260.0,289.0,289.0
내발산동,190.0,227.0,275.0,284.0,288.0,302.0,336.0,341.0,343.0,373.0,401.0,401.0
가양동,130.0,147.0,183.0,198.0,188.0,207.0,221.0,231.0,243.0,247.0,277.0,277.0
외발산동,18.0,18.0,22.0,24.0,17.0,24.0,14.0,15.0,16.0,18.0,25.0,25.0
과해동,11.0,12.0,15.0,19.0,22.0,22.0,31.0,3.0,3.0,3.0,3.0,3.0
개화동,2.0,2.0,6.0,8.0,6.0,4.0,2.0,3.0,5.0,9.0,13.0,13.0
오쇠동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
미아동,759.0,794.0,904.0,975.0,1134.0,1256.0,1293.0,1405.0,1530.0,1563.0,1720.0,1720.0
수유동,630.0,713.0,778.0,807.0,891.0,997.0,1074.0,1202.0,1295.0,1426.0,1541.0,1541.0
번동,252.0,270.0,291.0,290.0,338.0,385.0,395.0,414.0,432.0,455.0,503.0,503.0
우이동,71.0,85.0,77.0,91.0,100.0,112.0,122.0,140.0,137.0,150.0,158.0,158.0
도선동,78.0,85.0,84.0,89.0,107.0,104.0,111.0,128.0,138.0,142.0,182.0,205.0
명일동,338.0,305.0,369.0,416.0,428.0,429.0,465.0,513.0,556.0,551.0,448.0,448.0
상일동,114.0,110.0,138.0,148.0,153.0,162.0,187.0,227.0,247.0,230.0,205.0,205.0
성내동,757.0,636.0,753.0,860.0,911.0,884.0,921.0,1042.0,1163.0,1212.0,1159.0,1159.0
둔촌동,165.0,124.0,165.0,176.0,213.0,190.0,217.0,253.0,285.0,291.0,244.0,244.0
길동,422.0,381.0,433.0,507.0,473.0,490.0,531.0,611.0,654.0,652.0,616.0,616.0
천호동,685.0,666.0,805.0,924.0,1017.0,970.0,1028.0,1159.0,1257.0,1329.0,1234.0,1234.0
고덕동,122.0,109.0,120.0,138.0,148.0,147.0,157.0,176.0,191.0,158.0,175.0,175.0
암사동,326.0,327.0,410.0,442.0,452.0,421.0,407.0,483.0,519.0,530.0,487.0,487.0
강일동,21.0,6.0,12.0,26.0,42.0,50.0,68.0,85.0,72.0,75.0,63.0,63.0
신림동,1669.0,1828.0,2176.0,2454.0,2387.0,2412.0,2186.0,2410.0,2554.0,2628.0,2771.0,2771.0
봉천동,1235.0,1396.0,1624.0,1808.0,1697.0,1770.0,1673.0,1866.0,2010.0,2089.0,2236.0,2236.0
남현동,114.0,107.0,132.0,149.0,160.0,164.0,167.0,189.0,193.0,218.0,232.0,232.0
신대방동,288.0,299.0,299.0,315.0,285.0,297.0,311.0,352.0,387.0,437.0,491.0,582.0
을지로2가,11.0,23.0,41.0,52.0,57.0,68.0,77.0,99.0,122.0,154.0,195.0,195.0
남산동1가,3.0,6.0,4.0,6.0,8.0,9.0,11.0,13.0,13.0,21.0,24.0,24.0
신당동,94.0,169.0,239.0,310.0,374.0,463.0,520.0,625.0,696.0,818.0,987.0,987.0
충무로5가,2.0,5.0,9.0,13.0,16.0,19.0,28.0,32.0,36.0,42.0,49.0,49.0
을지로5가,0.0,2.0,5.0,14.0,16.0,13.0,15.0,20.0,24.0,28.0,27.0,27.0
을지로6가,23.0,86.0,117.0,115.0,133.0,151.0,195.0,203.0,213.0,269.0,316.0,316.0
충무로1가,31.0,50.0,72.0,83.0,98.0,113.0,131.0,160.0,177.0,190.0,200.0,200.0
소공동,17.0,33.0,47.0,71.0,85.0,93.0,116.0,146.0,157.0,169.0,195.0,195.0
수하동,2.0,3.0,5.0,5.0,15.0,18.0,21.0,29.0,29.0,46.0,54.0,54.0
주교동,7.0,12.0,17.0,17.0,25.0,26.0,30.0,33.0,40.0,48.0,51.0,51.0
남창동,6.0,23.0,30.0,36.0,48.0,58.0,74.0,83.0,99.0,106.0,128.0,128.0
무학동,6.0,6.0,11.0,14.0,15.0,26.0,27.0,30.0,35.0,40.0,50.0,50.0
중림동,30.0,31.0,42.0,48.0,54.0,73.0,87.0,102.0,121.0,155.0,184.0,184.0
