GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
2012203168734617491900000000,1132010500100210005,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-5,100194228,1,일반건축물,2,일반건축물대방,창동교회,H동,0,주건축물,0,47.5,47.5,0,0,32,경량철골구조,06000,종교시설,06101,교회,6,문교사회용,3.5,1,0,2012-09-21,2012-11-05,2018-07-06
2012203156664617547700000000,1132010500100210005,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-5,100193463,1,일반건축물,2,일반건축물대방,창동교회,G동,0,주건축물,0,55.44,55.44,0,0,32,경량철골구조,06000,종교시설,06101,교회,6,문교사회용,3.05,1,0,2012-08-03,2012-08-23,2018-07-06
1998203186214617465800000000,1132010500100210005,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-5,563,1,일반건축물,2,일반건축물대방,창동교회,D동,0,주건축물,0,0,108.53,0,0,21,철근콘크리트구조,06000,종교시설,06101,교회,6,문교사회용,0,0,1,1996-10-15,1998-04-02,2018-07-06
1971203233484617569200000000,1132010500100210013,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-13,568,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,89.03,89.03,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1971-04-09,2018-07-06
1995203229374617375800000000,1132010500100210015,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-15,569,1,일반건축물,2,일반건축물대방,,,0,주건축물,310,166.14,984.57,236.3,53.59,21,철근콘크리트구조,04000,제2종근린생활시설,04010,학원,2,상업용,15.3,5,1,1995-05-29,1995-10-31,2018-07-06
1993203257174617671300000000,1132010500100210016,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-16,4175,2,집합건축물,3,표제부,2동,,0,주건축물,553,232.52,610.59,165.96,42.05,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1992-06-28,1993-06-05,2018-07-06
1993203272244617657500000000,1132010500100210016,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-16,4174,2,집합건축물,3,표제부,1동,,0,주건축물,553,232.52,544.25,77.87,42.05,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.4,4,1,1992-06-28,1993-06-05,2018-07-06
1993203257874617508100000000,1132010500100210049,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-49,4176,2,집합건축물,3,표제부,,,0,주건축물,375,152.72,642.71,156.55,40.72,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,9.8,4,1,1991-06-05,1993-01-04,2018-07-06
1993203249314617341100000000,1132010500100210050,1132010500,서울특별시 도봉구 쌍문동,1,일반,21-50,4177,2,집합건축물,3,표제부,,,0,주건축물,337,153.85,683.28,169.23,45.65,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.5,4,1,1991-06-03,1993-04-09,2018-07-06
1980203263734618009800000000,1132010500100220001,1132010500,서울특별시 도봉구 쌍문동,1,일반,22-1,571,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,161.26,247.74,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,1,,1980-04-02,2018-07-06
0000203303224617976500000000,1132010500100230001,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-1,573,1,일반건축물,2,일반건축물대방,,,0,주건축물,202,81.99,163.98,81.18,40.58,11,벽돌구조,10000,교육연구시설,10999,기타교육연구시설,6,문교사회용,0,2,0,,,2018-07-06
1969203290084617959200000000,1132010500100230002,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-2,575,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,54.45,54.45,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1969-01-10,2018-07-06
1995203227514618479300000000,1132010500100230008,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-8,4178,2,집합건축물,3,표제부,,,0,주건축물,540,156.51,648.63,96.06,28.98,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.8,4,1,1993-05-29,1995-01-19,2018-07-06
1986203244784618404800000000,1132010500100230009,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-9,577,1,일반건축물,2,일반건축물대방,,,0,주건축물,134.14,67,201,99.9,49.95,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.5,2,1,1986-08-21,1986-12-18,2018-07-06
2014203239904618005300000000,1132010500100230011,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-11,100201300,2,집합건축물,3,표제부,대원쉐르빌,,0,주건축물,227,120.07,453.65,199.85,52.66,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,16.65,6,0,2014-07-30,2014-12-30,2018-07-06
1994203225914618021400000000,1132010500100230012,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-12,4179,2,집합건축물,3,표제부,,,0,주건축물,315.44,189.12,659.48,173.95,59.95,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.7,4,1,1993-05-31,1994-01-26,2018-07-06
1969203291574617860600000000,1132010500100230014,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-14,579,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,41.59,41.59,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1969-06-05,2018-07-06
1966203275684617965300000000,1132010500100230016,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-16,580,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,55.54,55.54,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1966,2018-07-06
1985203275784617791800000000,1132010500100230017,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-17,581,1,일반건축물,2,일반건축물대방,,,0,주건축물,172,77.33,257.98,109.93,44.96,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,9,3,1,1984-05-09,1985-04-23,2018-07-06
1995203227194617845400000000,1132010500100230020,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-20,582,1,일반건축물,2,일반건축물대방,,,0,주건축물,121.54,65.68,179.64,98.11,54.04,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,6.5,2,1,1995-01-28,1995-09-30,2018-07-06
2013203302334617821400000000,1132010500100230032,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-32,100194827,2,집합건축물,3,표제부,CJ 에코빌,,0,주건축물,196,115.22,373.98,190.81,58.79,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,13.1,5,0,2011-09-09,2013-01-30,2018-07-06
1970203236994617835900000000,1132010500100230033,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-33,584,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,46.38,53.82,0,0,12,블록구조,01000,단독주택,01001,단독주택,1,주거용,0,1,1,,1970-08-26,2018-07-06
1994203211494618505000000000,1132010500100230036,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-36,585,1,일반건축물,2,일반건축물대방,,,0,주건축물,161,95.76,253.18,104.4,59.47,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.6,2,1,1994-06-15,1994-11-17,2018-07-06
1986203243534618298800000000,1132010500100230038,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-38,586,1,일반건축물,2,일반건축물대방,,,0,주건축물,130.74,65.2,195.6,99.74,49.87,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,7.5,2,1,1986-08-21,1986-12-18,2018-07-06
1993203227704618274900000000,1132010500100230039,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-39,587,1,일반건축물,2,일반건축물대방,,,0,주건축물,227,131.1,461.94,152.48,57.75,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.2,3,1,1992-09-29,1993-06-17,2018-07-06
2001203239954618599500000000,1132010500100230040,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-40,588,1,일반건축물,2,일반건축물대방,,,0,주건축물,84.83,47.46,94.92,111.89,55.95,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,6.7,2,0,2001-03-22,2001-06-29,2018-07-06
1971203241984618501000000000,1132010500100230041,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-41,589,1,일반건축물,2,일반건축물대방,,,0,주건축물,96.87,58.1,103.75,107.1,59.98,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,6.3,2,0,,1971-06-30,2018-07-06
1994203213134618380900000000,1132010500100230045,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-45,590,1,일반건축물,2,일반건축물대방,,,0,주건축물,130.86,78.2,199.68,101.79,59.76,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,6.5,2,1,1993-06-28,1994-01-12,2018-07-06
1988203216254618268200000000,1132010500100230056,1132010500,서울특별시 도봉구 쌍문동,1,일반,23-56,592,1,일반건축물,2,일반건축물대방,,,0,주건축물,110,54.49,172.17,99.07,49.54,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,8.3,2,1,1988-03-02,1988-12-08,2018-07-06
1994203249114618603100000000,1132010500100240001,1132010500,서울특별시 도봉구 쌍문동,1,일반,24-1,593,1,일반건축물,2,일반건축물대방,,,0,주건축물,166.65,86.77,293,128.59,52.07,11,벽돌구조,01000,단독주택,01003,다가구주택,1,주거용,10.2,3,1,1994-01-12,1994-12-01,2018-07-06
