area,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
원효로2가,8,11,11,19,30,38,44,53,70,84,96,96
이태원동,41,87,126,170,234,299,386,545,706,926,1192,1192
한강로3가,42,53,70,95,120,132,135,156,206,257,311,311
한강로2가,34,50,63,83,94,114,121,128,160,192,266,266
용산동2가,11,16,23,40,48,53,74,97,124,156,203,203
보광동,12,23,34,41,57,64,69,84,107,139,165,165
남영동,15,22,23,27,39,45,51,67,81,102,116,116
서계동,6,14,25,36,46,50,52,57,67,74,83,83
원효로3가,5,8,19,21,25,27,28,36,45,58,70,70
청파동3가,8,13,23,28,39,46,51,63,72,91,106,106
용문동,9,16,23,34,37,46,54,69,87,100,106,106
용산동3가,3,3,4,5,8,8,9,11,12,15,21,21
동자동,18,25,32,38,50,57,66,79,105,147,180,180
이촌동,18,40,65,77,104,127,137,187,198,208,234,234
동빙고동,2,5,8,8,15,18,19,23,26,26,33,33
청파동1가,2,7,11,14,15,24,31,30,34,41,47,47
신계동,10,17,22,22,31,40,46,44,47,56,59,59
원효로1가,5,9,17,32,33,40,49,63,73,96,132,132
원효로4가,1,3,10,11,17,20,25,29,27,30,31,31
문배동,2,6,9,9,11,13,16,24,29,37,45,45
산천동,3,2,4,5,5,5,3,9,10,11,13,13
서교동,533,626,691,788,915,1064,1154,1468,1758,2086,2467,3000
제기동,357,367,297,306,322,338,356,433,454,481,515,576
전농동,389,399,404,387,414,434,475,508,529,560,625,722
장안동,665,683,638,646,697,748,794,888,944,1046,1183,1361
회기동,204,216,221,204,208,230,268,324,361,416,465,582
답십리동,360,379,360,316,340,369,378,412,413,428,450,519
이문동,279,285,302,313,338,376,409,479,500,565,601,680
신설동,115,142,170,160,160,163,175,197,219,236,272,311
청량리동,212,226,234,227,222,246,249,268,294,309,325,368
용두동,356,361,375,341,354,381,380,417,410,445,482,547
휘경동,190,187,178,179,183,215,237,276,310,352,381,433
노량진동,325,320,323,331,356,373,414,459,524,638,779,879
상도동,472,473,481,471,460,502,530,593,650,761,881,1002
사당동,578,576,601,568,547,583,707,807,925,1060,1249,1479
흑석동,197,198,207,212,225,252,278,328,356,382,442,526
대방동,156,153,158,166,167,180,191,228,239,272,302,343
본동,45,39,39,34,36,38,36,36,39,44,52,58
상도1동,66,65,63,62,68,74,83,105,114,131,155,176
동작동,15,14,16,5,2,3,9,16,15,18,18,18
상암동,100,146,184,231,287,339,377,462,529,693,848,1096
연남동,81,83,100,101,119,147,165,236,320,470,675,887
염리동,132,137,145,150,154,147,108,116,141,161,194,244
공덕동,289,295,311,306,305,313,308,319,373,415,491,574
성산동,211,227,228,254,271,302,284,332,383,438,545,650
도화동,264,287,305,306,312,338,297,333,409,472,576,696
망원동,250,266,284,297,332,354,328,380,457,576,727,888
창전동,65,76,85,92,101,106,103,106,125,142,175,204
대흥동,155,158,177,186,155,173,175,198,204,204,238,268
마포동,35,34,31,31,31,32,25,33,33,33,40,44
동교동,180,209,225,246,295,319,332,402,472,583,712,877
용강동,106,107,116,121,125,126,111,133,153,183,197,232
합정동,200,194,216,232,239,265,234,309,365,456,602,724
상수동,84,97,109,131,149,180,179,228,298,374,465,555
신수동,115,108,121,129,134,148,136,155,171,203,239,282
노고산동,170,178,196,199,178,167,158,172,185,211,247,280
아현동,191,181,183,139,127,136,134,162,182,207,232,265
신공덕동,73,70,70,68,52,67,81,97,100,118,136,152
중동,25,32,32,36,36,36,26,31,39,42,49,54
