법정동코드,법정동명,2018,2018_bin
1111016300,서울특별시 종로구 종로5가,18921210.0,1.0
1111016400,서울특별시 종로구 종로6가,18362970.0,1.0
1111012500,서울특별시 종로구 중학동,106129400.0,1.0
1111010500,서울특별시 종로구 창성동,20684740.0,1.0
1111017400,서울특별시 종로구 창신동,11974060.0,3.0
1111010100,서울특별시 종로구 청운동,10907810.0,3.0
1111012200,서울특별시 종로구 청진동,,
1111011200,서울특별시 종로구 체부동,,
1111016700,서울특별시 종로구 충신동,12006580.0,2.0
1111010600,서울특별시 종로구 통의동,,
1111010800,서울특별시 종로구 통인동,15772360.0,2.0
1111013900,서울특별시 종로구 팔판동,,
1111017700,서울특별시 종로구 평동,,
1111018300,서울특별시 종로구 평창동,8295088.0,3.0
1111011300,서울특별시 종로구 필운동,18145870.0,1.0
1111018100,서울특별시 종로구 행촌동,8244423.0,3.0
1111016900,서울특별시 종로구 혜화동,11701190.0,3.0
1111018500,서울특별시 종로구 홍지동,6766783.0,4.0
1111017900,서울특별시 종로구 홍파동,,
1111014300,서울특별시 종로구 화동,,
1111010400,서울특별시 종로구 효자동,15001230.0,2.0
1111016200,서울특별시 종로구 효제동,13680410.0,2.0
1111015000,서울특별시 종로구 훈정동,,
1114014500,서울특별시 중구 광희동1가,20249220.0,1.0
1114014600,서울특별시 중구 광희동2가,76535968.0,1.0
1114010600,서울특별시 중구 남대문로1가,,
1114011500,서울특별시 중구 남대문로2가,,
1114011600,서울특별시 중구 남대문로3가,,
1114011700,서울특별시 중구 남대문로4가,,
1114011800,서울특별시 중구 남대문로5가,,
1114012800,서울특별시 중구 남산동1가,,
1114012900,서울특별시 중구 남산동2가,,
1114013000,서울특별시 중구 남산동3가,,
1114011200,서울특별시 중구 남창동,27190330.0,1.0
1114014000,서울특별시 중구 남학동,,
1114010200,서울특별시 중구 다동,42652688.0,1.0
1114017300,서울특별시 중구 만리동1가,,
1114017400,서울특별시 중구 만리동2가,,
1114012600,서울특별시 중구 명동1가,,
1114012700,서울특별시 중구 명동2가,195292192.0,1.0
1114010100,서울특별시 중구 무교동,,
1114016400,서울특별시 중구 무학동,,
1114013600,서울특별시 중구 묵정동,,
1114015300,서울특별시 중구 방산동,,
1114011900,서울특별시 중구 봉래동1가,,
1114012000,서울특별시 중구 봉래동2가,,
1114011300,서울특별시 중구 북창동,,
1114015700,서울특별시 중구 산림동,19605570.0,1.0
1114010700,서울특별시 중구 삼각동,,
1114016600,서울특별시 중구 서소문동,125095200.0,1.0
1114011100,서울특별시 중구 소공동,,
1114011000,서울특별시 중구 수표동,,
1114010800,서울특별시 중구 수하동,,
1114016800,서울특별시 중구 순화동,,
1114016200,서울특별시 중구 신당동,13455660.0,2.0
1114014700,서울특별시 중구 쌍림동,15020740.0,2.0
1114013500,서울특별시 중구 예관동,15362460.0,2.0
1114014200,서울특별시 중구 예장동,9592234.0,3.0
1114015400,서울특별시 중구 오장동,9230946.0,3.0
1114010400,서울특별시 중구 을지로1가,,
1114010500,서울특별시 중구 을지로2가,,
1114015500,서울특별시 중구 을지로3가,19621400.0,1.0
1114015000,서울특별시 중구 을지로4가,,
1114015100,서울특별시 중구 을지로5가,9877525.0,3.0
1114014800,서울특별시 중구 을지로6가,,
1114014900,서울특별시 중구 을지로7가,,
1114016900,서울특별시 중구 의주로1가,,
1114017200,서울특별시 중구 의주로2가,,
1114016000,서울특별시 중구 인현동1가,,
1114013400,서울특별시 중구 인현동2가,14814810.0,2.0
1114015600,서울특별시 중구 입정동,19066400.0,1.0
1114010900,서울특별시 중구 장교동,,
1114014300,서울특별시 중구 장충동1가,,
1114014400,서울특별시 중구 장충동2가,14059410.0,2.0
1114013100,서울특별시 중구 저동1가,,
1114016100,서울특별시 중구 저동2가,28123580.0,1.0
1114016700,서울특별시 중구 정동,21499550.0,1.0
1114015200,서울특별시 중구 주교동,21428570.0,1.0
1114014100,서울특별시 중구 주자동,,
1114017100,서울특별시 중구 중림동,,
