,class,area,2012,2013,2014,2015,2016,2017,2018
306,서대문구,영천동,,,468.0,895.0,790.0,705.0,
307,서대문구,현저동,238.0,,437.0,424.0,743.0,,270.0
308,서대문구,북아현동,1141.0,383.0,842.0,841.0,703.0,714.0,2429.0
309,서대문구,홍제동,723.0,512.0,507.0,541.0,880.0,749.0,1134.0
310,서대문구,대현동,1625.0,1086.0,1239.0,1809.0,1480.0,2016.0,2010.0
311,서대문구,대신동,1045.0,1019.0,1287.0,1338.0,,,
312,서대문구,신촌동,83.0,61.0,79.0,63.0,443.0,85.0,89.0
313,서대문구,봉원동,,,,,,,
314,서대문구,창천동,1137.0,1305.0,1131.0,1425.0,1484.0,1589.0,1814.0
315,서대문구,연희동,678.0,251.0,225.0,222.0,202.0,272.0,390.0
316,서대문구,홍은동,422.0,700.0,535.0,579.0,653.0,685.0,424.0
317,서대문구,북가좌동,571.0,558.0,852.0,571.0,502.0,608.0,
318,서대문구,남가좌동,492.0,500.0,525.0,632.0,642.0,1027.0,1421.0
319,마포구,아현동,,768.0,878.0,711.0,880.0,894.0,1119.0
320,마포구,공덕동,1138.0,751.0,720.0,762.0,932.0,1084.0,1472.0
321,마포구,신공덕동,,704.0,528.0,903.0,1761.0,,2384.0
322,마포구,도화동,305.0,206.0,304.0,269.0,317.0,290.0,295.0
323,마포구,용강동,1531.0,,,830.0,1270.0,965.0,1204.0
324,마포구,토정동,,,,,,,997.0
325,마포구,마포동,410.0,,1720.0,,,,
326,마포구,대흥동,1022.0,1065.0,794.0,776.0,1075.0,1032.0,1941.0
327,마포구,염리동,801.0,801.0,807.0,745.0,715.0,1247.0,1615.0
328,마포구,노고산동,773.0,901.0,1064.0,1396.0,1341.0,1209.0,2138.0
329,마포구,신수동,637.0,618.0,726.0,1241.0,811.0,2032.0,755.0
330,마포구,현석동,,951.0,,,,,
331,마포구,구수동,,,,993.0,1500.0,1068.0,1482.0
332,마포구,창전동,981.0,1641.0,1236.0,2047.0,1052.0,1044.0,735.0
333,마포구,상수동,1084.0,855.0,1621.0,1094.0,1437.0,1584.0,2104.0
334,마포구,하중동,267.0,251.0,285.0,221.0,432.0,321.0,
335,마포구,신정동,681.0,586.0,639.0,677.0,746.0,755.0,1375.0
336,마포구,당인동,1119.0,,,,1065.0,,1395.0
337,마포구,서교동,1401.0,1510.0,1128.0,1426.0,1521.0,1779.0,1755.0
338,마포구,동교동,1075.0,1079.0,1397.0,1831.0,2185.0,1901.0,1975.0
339,마포구,합정동,907.0,977.0,1090.0,1519.0,1040.0,1704.0,1509.0
340,마포구,망원동,742.0,737.0,711.0,819.0,997.0,1287.0,1023.0
341,마포구,연남동,654.0,833.0,913.0,1084.0,1215.0,1236.0,1814.0
342,마포구,성산동,739.0,622.0,572.0,868.0,893.0,1150.0,781.0
343,마포구,중동,504.0,566.0,554.0,505.0,608.0,563.0,701.0
344,마포구,상암동,1074.0,848.0,1448.0,841.0,3463.0,1040.0,1600.0
345,양천구,신정동,681.0,586.0,639.0,677.0,746.0,755.0,1375.0
346,양천구,목동,115.0,73.0,62.0,65.0,92.0,90.0,101.0
347,양천구,신월동,440.0,447.0,429.0,470.0,460.0,482.0,679.0
348,강서구,염창동,742.0,668.0,588.0,788.0,731.0,1024.0,775.0
349,강서구,등촌동,933.0,726.0,642.0,768.0,800.0,874.0,1317.0
350,강서구,화곡동,622.0,593.0,584.0,649.0,628.0,756.0,822.0
351,강서구,가양동,597.0,865.0,700.0,888.0,745.0,827.0,1005.0
352,강서구,마곡동,,,,,,,1821.0
353,강서구,내발산동,682.0,664.0,690.0,734.0,517.0,821.0,681.0
354,강서구,외발산동,,,,,277.0,1172.0,
355,강서구,공항동,,432.0,685.0,588.0,723.0,610.0,696.0
356,강서구,방화동,630.0,417.0,609.0,511.0,552.0,631.0,892.0
357,강서구,개화동,,,,283.0,475.0,,
358,강서구,과해동,,,,,,,
359,강서구,오곡동,,,,,,,
360,강서구,오쇠동,,,,,,,
361,구로구,신도림동,186.0,459.0,1372.0,507.0,603.0,525.0,538.0
362,구로구,구로동,662.0,633.0,604.0,537.0,687.0,705.0,768.0
363,구로구,가리봉동,,256.0,680.0,510.0,753.0,701.0,388.0
364,구로구,고척동,421.0,315.0,555.0,484.0,425.0,483.0,465.0
365,구로구,개봉동,392.0,427.0,480.0,492.0,560.0,640.0,587.0
366,구로구,오류동,1207.0,754.0,500.0,494.0,980.0,815.0,558.0
367,구로구,궁동,,281.0,429.0,523.0,451.0,,451.0
368,구로구,온수동,390.0,395.0,394.0,364.0,644.0,420.0,493.0
369,구로구,천왕동,,,,,258.0,,561.0
370,구로구,항동,121.0,192.0,156.0,225.0,200.0,441.0,686.0
371,금천구,가산동,1053.0,885.0,740.0,721.0,759.0,845.0,943.0
372,금천구,독산동,488.0,490.0,530.0,585.0,624.0,671.0,724.0
373,금천구,시흥동,592.0,501.0,526.0,659.0,580.0,637.0,752.0
374,영등포구,영등포동,1122.0,927.0,848.0,805.0,925.0,947.0,1114.0
375,영등포구,영등포동1가,,,,,,,
376,영등포구,영등포동2가,,,,,,,
377,영등포구,영등포동3가,,,,,,,
378,영등포구,영등포동4가,,,,,,,
