법정동코드,법정동명,2012_bin,2013_bin,2014_bin,2015_bin,2016_bin,2017_bin,2018_bin
1147010100,서울특별시 양천구 신정동,3.0,4.0,3.0,3.0,3.0,4.0,2.0
1156011700,서울특별시 영등포구 당산동,3.0,3.0,3.0,3.0,3.0,3.0,4.0
1156011100,서울특별시 영등포구 당산동1가,,,,,,,
1156011200,서울특별시 영등포구 당산동2가,,,,,,,
1156011300,서울특별시 영등포구 당산동3가,,,,,,,
1156011400,서울특별시 영등포구 당산동4가,,,,,,,
1156011500,서울특별시 영등포구 당산동5가,,,,,,,
1156011600,서울특별시 영등포구 당산동6가,,,,,,,
1156013300,서울특별시 영등포구 대림동,4.0,3.0,4.0,4.0,4.0,4.0,3.0
1156011800,서울특별시 영등포구 도림동,4.0,4.0,4.0,2.0,4.0,4.0,
1156011900,서울특별시 영등포구 문래동1가,,4.0,4.0,4.0,4.0,4.0,4.0
1156012000,서울특별시 영등포구 문래동2가,4.0,,4.0,4.0,4.0,4.0,4.0
1156012100,서울특별시 영등포구 문래동3가,3.0,3.0,4.0,4.0,4.0,4.0,4.0
1156012200,서울특별시 영등포구 문래동4가,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1156012300,서울특별시 영등포구 문래동5가,2.0,,4.0,2.0,4.0,,
1156012400,서울특별시 영등포구 문래동6가,,,,1.0,,4.0,
1156013200,서울특별시 영등포구 신길동,4.0,3.0,3.0,4.0,4.0,3.0,3.0
1156013400,서울특별시 영등포구 양평동,2.0,4.0,3.0,3.0,3.0,3.0,3.0
1156012500,서울특별시 영등포구 양평동1가,,,,,,,
1156012600,서울특별시 영등포구 양평동2가,,,,,,,
1156012700,서울특별시 영등포구 양평동3가,,,,,,,
1156012800,서울특별시 영등포구 양평동4가,,,,,,,
1156012900,서울특별시 영등포구 양평동5가,,,,,,,
1156013000,서울특별시 영등포구 양평동6가,,,,,,,
1156013100,서울특별시 영등포구 양화동,,,,,,,
1156011000,서울특별시 영등포구 여의도동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1156010100,서울특별시 영등포구 영등포동,2.0,2.0,2.0,3.0,3.0,3.0,3.0
1156010200,서울특별시 영등포구 영등포동1가,,,,,,,
1156010300,서울특별시 영등포구 영등포동2가,,,,,,,
1156010400,서울특별시 영등포구 영등포동3가,,,,,,,
1156010500,서울특별시 영등포구 영등포동4가,,,,,,,
1156010600,서울특별시 영등포구 영등포동5가,,,,,,,
1156010700,서울특별시 영등포구 영등포동6가,,,,,,,
1156010800,서울특별시 영등포구 영등포동7가,,,,,,,
1156010900,서울특별시 영등포구 영등포동8가,,,,,,,
1117010400,서울특별시 용산구 갈월동,,,1.0,2.0,1.0,1.0,2.0
1117010500,서울특별시 용산구 남영동,,1.0,2.0,1.0,1.0,1.0,2.0
1117012000,서울특별시 용산구 도원동,2.0,3.0,2.0,,2.0,2.0,
1117013200,서울특별시 용산구 동빙고동,2.0,2.0,,2.0,4.0,2.0,1.0
1117010700,서울특별시 용산구 동자동,,1.0,1.0,2.0,2.0,4.0,3.0
1117012200,서울특별시 용산구 문배동,,,,1.0,,,1.0
1117013600,서울특별시 용산구 보광동,2.0,1.0,3.0,2.0,2.0,2.0,1.0
1117011500,서울특별시 용산구 산천동,,,,4.0,,2.0,
1117010800,서울특별시 용산구 서계동,,3.0,2.0,2.0,2.0,2.0,
1117013300,서울특별시 용산구 서빙고동,,,4.0,,3.0,2.0,
1117012300,서울특별시 용산구 신계동,,,4.0,4.0,2.0,2.0,2.0
1117011400,서울특별시 용산구 신창동,,,2.0,,4.0,,
1117012100,서울특별시 용산구 용문동,,3.0,2.0,1.0,2.0,,2.0
1117010600,서울특별시 용산구 용산동1가,,,,,,,
1117010200,서울특별시 용산구 용산동2가,3.0,2.0,3.0,3.0,2.0,3.0,1.0
1117012600,서울특별시 용산구 용산동3가,,,,,2.0,1.0,
1117012700,서울특별시 용산구 용산동5가,,,,,1.0,,1.0
1117013500,서울특별시 용산구 용산동6가,,,,,,,
1117011200,서울특별시 용산구 원효로1가,,3.0,2.0,2.0,2.0,2.0,2.0
1117011300,서울특별시 용산구 원효로2가,1.0,,2.0,2.0,3.0,2.0,2.0
1117011700,서울특별시 용산구 원효로3가,,2.0,2.0,2.0,3.0,3.0,
1117011800,서울특별시 용산구 원효로4가,,3.0,,3.0,2.0,1.0,
1117012900,서울특별시 용산구 이촌동,,1.0,,1.0,1.0,2.0,3.0
1117013000,서울특별시 용산구 이태원동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1117013400,서울특별시 용산구 주성동,,,,,,3.0,
1117011600,서울특별시 용산구 청암동,,,,4.0,3.0,,4.0
1117010900,서울특별시 용산구 청파동1가,4.0,,,4.0,2.0,4.0,3.0
1117011000,서울특별시 용산구 청파동2가,1.0,2.0,,2.0,2.0,2.0,2.0
1117011100,서울특별시 용산구 청파동3가,4.0,1.0,,2.0,2.0,3.0,2.0
1117012400,서울특별시 용산구 한강로1가,1.0,2.0,1.0,1.0,1.0,1.0,1.0
1117012500,서울특별시 용산구 한강로2가,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1117012800,서울특별시 용산구 한강로3가,1.0,1.0,2.0,1.0,2.0,1.0,1.0
1117013100,서울특별시 용산구 한남동,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1117011900,서울특별시 용산구 효창동,,,,4.0,3.0,2.0,
1117010100,서울특별시 용산구 후암동,2.0,2.0,2.0,2.0,1.0,2.0,2.0
1138010400,서울특별시 은평구 갈현동,3.0,4.0,3.0,4.0,4.0,3.0,3.0
1138010500,서울특별시 은평구 구산동,4.0,4.0,4.0,4.0,4.0,4.0,3.0
1138010200,서울특별시 은평구 녹번동,4.0,4.0,4.0,4.0,4.0,3.0,3.0
1138010600,서울특별시 은평구 대조동,2.0,3.0,3.0,3.0,2.0,3.0,1.0
1138010300,서울특별시 은평구 불광동,3.0,4.0,3.0,3.0,3.0,3.0,2.0
1138010100,서울특별시 은평구 수색동,,2.0,3.0,3.0,4.0,4.0,4.0
1138010900,서울특별시 은평구 신사동,4.0,4.0,4.0,4.0,4.0,4.0,
1138010800,서울특별시 은평구 역촌동,4.0,3.0,4.0,4.0,4.0,3.0,4.0
1138010700,서울특별시 은평구 응암동,4.0,4.0,4.0,4.0,4.0,3.0,2.0
1138011000,서울특별시 은평구 증산동,2.0,4.0,4.0,4.0,3.0,4.0,
1138011400,서울특별시 은평구 진관동,,3.0,4.0,4.0,4.0,4.0,
1111014600,서울특별시 종로구 가회동,3.0,1.0,1.0,1.0,1.0,2.0,1.0
1111012900,서울특별시 종로구 견지동,1.0,,,2.0,1.0,,
1111013400,서울특별시 종로구 경운동,,,2.0,,3.0,,3.0
1111014800,서울특별시 종로구 계동,4.0,,2.0,1.0,1.0,1.0,
1111012700,서울특별시 종로구 공평동,,,,,,,
1111015500,서울특별시 종로구 관수동,1.0,1.0,3.0,1.0,2.0,1.0,1.0
1111013500,서울특별시 종로구 관철동,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1111012800,서울특별시 종로구 관훈동,1.0,2.0,1.0,1.0,2.0,,1.0
1111017600,서울특별시 종로구 교남동,,3.0,,,2.0,1.0,1.0
1111018000,서울특별시 종로구 교북동,,,,,,,
1111018200,서울특별시 종로구 구기동,4.0,4.0,3.0,4.0,,4.0,4.0
1111010300,서울특별시 종로구 궁정동,,,,,,,
1111013100,서울특별시 종로구 권농동,,2.0,2.0,2.0,3.0,1.0,
1111013700,서울특별시 종로구 낙원동,1.0,1.0,2.0,2.0,1.0,1.0,2.0
1111011800,서울특별시 종로구 내수동,1.0,,,,,,
1111011400,서울특별시 종로구 내자동,1.0,1.0,,2.0,2.0,2.0,3.0
1111010900,서울특별시 종로구 누상동,3.0,,,2.0,,,
1111011000,서울특별시 종로구 누하동,2.0,3.0,2.0,3.0,2.0,3.0,2.0
1111011700,서울특별시 종로구 당주동,,1.0,,,1.0,1.0,
1111011600,서울특별시 종로구 도렴동,,,,,,,
1111015300,서울특별시 종로구 돈의동,2.0,3.0,2.0,2.0,2.0,2.0,
1111016800,서울특별시 종로구 동숭동,2.0,1.0,4.0,1.0,1.0,1.0,1.0
1111017000,서울특별시 종로구 명륜1가,3.0,3.0,3.0,,2.0,3.0,
1111017100,서울특별시 종로구 명륜2가,,1.0,2.0,2.0,2.0,1.0,1.0
1111017300,서울특별시 종로구 명륜3가,4.0,3.0,3.0,3.0,4.0,4.0,4.0
1111017200,서울특별시 종로구 명륜4가,1.0,2.0,4.0,2.0,2.0,2.0,
