,법정동코드,법정동명,2012~2013_bin,2013~2014_bin,2014~2015_bin,2015~2016_bin,2016~2017_bin,2017~2018_bin
295,1138010800,서울특별시 은평구 역촌동,2.0,4.0,2.0,3.0,1.0,4.0
296,1138010700,서울특별시 은평구 응암동,1.0,3.0,2.0,3.0,1.0,2.0
297,1138011000,서울특별시 은평구 증산동,4.0,3.0,3.0,1.0,4.0,
298,1138011400,서울특별시 은평구 진관동,,4.0,4.0,2.0,1.0,
299,1111014600,서울특별시 종로구 가회동,1.0,2.0,4.0,2.0,4.0,1.0
300,1111012900,서울특별시 종로구 견지동,,,,1.0,,
301,1111013400,서울특별시 종로구 경운동,,,,,,
302,1111014800,서울특별시 종로구 계동,,,1.0,4.0,1.0,
303,1111012700,서울특별시 종로구 공평동,,,,,,
304,1111015500,서울특별시 종로구 관수동,2.0,4.0,1.0,4.0,1.0,1.0
305,1111013500,서울특별시 종로구 관철동,4.0,1.0,2.0,4.0,1.0,3.0
306,1111012800,서울특별시 종로구 관훈동,4.0,1.0,1.0,,,
307,1111017600,서울특별시 종로구 교남동,,,,,1.0,3.0
308,1111018000,서울특별시 종로구 교북동,,,,,,
309,1111018200,서울특별시 종로구 구기동,4.0,1.0,4.0,,,1.0
310,1111010300,서울특별시 종로구 궁정동,,,,,,
311,1111013100,서울특별시 종로구 권농동,,4.0,1.0,4.0,1.0,
312,1111013700,서울특별시 종로구 낙원동,4.0,4.0,2.0,1.0,3.0,4.0
313,1111011800,서울특별시 종로구 내수동,,,,,,
314,1111011400,서울특별시 종로구 내자동,3.0,,,1.0,4.0,4.0
315,1111010900,서울특별시 종로구 누상동,,,,,,
316,1111011000,서울특별시 종로구 누하동,4.0,1.0,4.0,1.0,4.0,1.0
317,1111011700,서울특별시 종로구 당주동,,,,,4.0,
318,1111011600,서울특별시 종로구 도렴동,,,,,,
319,1111015300,서울특별시 종로구 돈의동,4.0,1.0,2.0,4.0,2.0,
320,1111016800,서울특별시 종로구 동숭동,1.0,4.0,1.0,2.0,3.0,4.0
321,1111017000,서울특별시 종로구 명륜1가,3.0,2.0,,,4.0,
322,1111017100,서울특별시 종로구 명륜2가,,4.0,1.0,2.0,2.0,1.0
323,1111017300,서울특별시 종로구 명륜3가,1.0,3.0,2.0,3.0,4.0,3.0
324,1111017200,서울특별시 종로구 명륜4가,4.0,4.0,1.0,4.0,2.0,
325,1111015100,서울특별시 종로구 묘동,1.0,4.0,2.0,1.0,,
326,1111018700,서울특별시 종로구 무악동,,,,4.0,,
327,1111015200,서울특별시 종로구 봉익동,1.0,4.0,4.0,2.0,2.0,
328,1111018400,서울특별시 종로구 부암동,1.0,3.0,,,1.0,
329,1111014400,서울특별시 종로구 사간동,,,,,1.0,3.0
330,1111011500,서울특별시 종로구 사직동,,1.0,1.0,,,
331,1111014000,서울특별시 종로구 삼청동,1.0,,,4.0,4.0,1.0
332,1111012300,서울특별시 종로구 서린동,,,,,,
333,1111011900,서울특별시 종로구 세종로,,,,,,
334,1111014200,서울특별시 종로구 소격동,,,4.0,1.0,2.0,
335,1111017800,서울특별시 종로구 송월동,,,,,,
336,1111014500,서울특별시 종로구 송현동,,,,,,
337,1111012400,서울특별시 종로구 수송동,,,,4.0,,
338,1111017500,서울특별시 종로구 숭인동,3.0,1.0,3.0,4.0,1.0,4.0
339,1111010200,서울특별시 종로구 신교동,,,,,,
340,1111012000,서울특별시 종로구 신문로1가,,,,,,
341,1111012100,서울특별시 종로구 신문로2가,,2.0,1.0,4.0,,
342,1111018600,서울특별시 종로구 신영동,,,1.0,3.0,3.0,
343,1111014100,서울특별시 종로구 안국동,,4.0,1.0,,,
344,1111016600,서울특별시 종로구 연건동,1.0,4.0,3.0,,,
345,1111016000,서울특별시 종로구 연지동,3.0,4.0,1.0,4.0,1.0,1.0
